ID,ID Base,Faction,Alteration,Name,Name En,Type,Sub-Type,Cost,Recall Cost,Vegetal,Mineral,Aquatic,Effect,Echo,Intentions Implémentation CE,Intentions Implémentation GD CE,Functions Tag,Intentions Lore CE,Profils Tag,Complexity CE,Score,Flavor CE,Illustration,Identité Effet,Identité Stat,Identité Design,Reflexions jeu Equipe,Reflexion Chacun pour soi
ALT_CORE_B_AX_01_C,ALT_CORE_B_AX_01_C,AX,COMMON,Sierra & Oddball,Sierra & Oddball,HERO,,,,,,,When you play a Permanent with Hand Cost {3} or more — You may exhaust me ({T}) to create a [BRASSBUG] Robot token in target Expedition.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_02_C,ALT_CORE_B_AX_02_C,AX,COMMON,Treyst & Rossum,Treyst & Rossum,HERO,,,,,,,"When a card leaves your Reserve during the Afternoon, if I have less than five Scrap counters — I gain a Scrap counter.  If I have five or more Scrap counters, I gain ""{T} : Draw a card, then put a card from your hand in Reserve.""",,,,,,,,,,,,,,,
ALT_CORE_B_AX_03_C,ALT_CORE_B_AX_03_C,AX,COMMON,Subhash & Marmo,Subhash & Marmo,HERO,,,,,,,At Noon — You may pay {1} and put a card from your hand in Reserve to create a [BRASSBUG] Robot token in target Expedition.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_C,ALT_CORE_B_AX_04_C,AX,COMMON,Kelon Elemental,Kelon Elemental,CHARACTER,ELEMENTAL,2,2,1,3,3,{H} Put a card from your hand in Reserve.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_R1,ALT_CORE_B_AX_04_C,AX,RARE,Kelon Elemental,Kelon Elemental,CHARACTER,ELEMENTAL,2,2,1,3,3,{H} #You may# put a card from your hand in Reserve.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_R2,ALT_CORE_B_AX_04_C,MU,RARE,Kelon Elemental,Kelon Elemental,CHARACTER,ELEMENTAL,2,2,1,3,3,{H} #You may# put a card from your hand in Reserve.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_05_C,ALT_CORE_B_AX_05_C,AX,COMMON,Foundry Engineer,Foundry Engineer,CHARACTER,ENGINEER,2,2,2,2,1,{R} The next Permanent you play this Afternoon costs {1} less.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_05_R1,ALT_CORE_B_AX_05_C,AX,RARE,Foundry Engineer,Foundry Engineer,CHARACTER,ENGINEER,2,2,2,2,1,{R} The next Permanent you play this Afternoon costs #{2}# less.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_05_R2,ALT_CORE_B_AX_05_C,OR,RARE,Foundry Engineer,Foundry Engineer,CHARACTER,ENGINEER,2,2,2,2,1,{R} The next Permanent you play this Afternoon costs #{2}# less.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_06_C,ALT_CORE_B_AX_06_C,AX,COMMON,Ogun,Ogun,CHARACTER,ENGINEER DEITY,2,2,2,1,1,{J} Robots you control gain 1 boost$[BB].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_06_R1,ALT_CORE_B_AX_06_C,AX,RARE,Ogun,Ogun,CHARACTER,ENGINEER DEITY,2,2,2,1,1,"{J} #You may pay {2} to create a [BRASSBUG] Robot token in target Expedition.# Then, Robots you control gain 1 boost.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_06_R2,ALT_CORE_B_AX_06_C,MU,RARE,Ogun,Ogun,CHARACTER,ENGINEER DEITY,2,2,2,1,1,{J} #Plants# you control gain 1 boost$[BB].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_07_C,ALT_CORE_B_AX_07_C,AX,COMMON,Foundry Mechanic,Foundry Mechanic,CHARACTER,ENGINEER,1,1,0,1,1,,{D} : The next Permanent you play this turn costs {1} less. (Discard me from Reserve to do this.),,,,,,,,,,,,,,
ALT_CORE_B_AX_07_R1,ALT_CORE_B_AX_07_C,AX,RARE,Foundry Mechanic,Foundry Mechanic,CHARACTER,ENGINEER,1,1,#1#,1,#2#,,{D} : The next Permanent you play this turn costs {1} less. (Discard me from Reserve to do this.),,,,,,,,,,,,,,
ALT_CORE_B_AX_07_R2,ALT_CORE_B_AX_07_C,OR,RARE,Foundry Mechanic,Foundry Mechanic,CHARACTER,ENGINEER,1,1,#1#,1,#2#,,{D} : The next Permanent you play this turn costs {1} less. (Discard me from Reserve to do this.),,,,,,,,,,,,,,
ALT_CORE_B_AX_08_C,ALT_CORE_B_AX_08_C,AX,COMMON,Axiom Salvager,Axiom Salvager,CHARACTER,ENGINEER,1,2,1,1,1,{R} $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_08_R1,ALT_CORE_B_AX_08_C,AX,RARE,Axiom Salvager,Axiom Salvager,CHARACTER,ENGINEER,1,#1#,1,1,#0#,{R} $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_08_R2,ALT_CORE_B_AX_08_C,BR,RARE,Axiom Salvager,Axiom Salvager,CHARACTER,ENGINEER,1,2,1,1,1,{R} $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_09_C,ALT_CORE_B_AX_09_C,AX,COMMON,Tinker Bell,Tinker Bell,CHARACTER,FAIRY,3,3,1,3,3,{R} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_09_R1,ALT_CORE_B_AX_09_C,AX,RARE,Tinker Bell,Tinker Bell,CHARACTER,FAIRY,#2#,3,1,3,3,{R} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_09_R2,ALT_CORE_B_AX_09_C,LY,RARE,Tinker Bell,Tinker Bell,CHARACTER,FAIRY,#2#,3,1,3,3,{R} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_10_C,ALT_CORE_B_AX_10_C,AX,COMMON,"Jian, Assembly Overseer","Jian, Assembly Overseer",CHARACTER,ENGINEER,2,2,3,2,0,,,,,,,,,,,,,,,,
ALT_CORE_B_AX_10_R1,ALT_CORE_B_AX_10_C,AX,RARE,"Jian, Assembly Overseer","Jian, Assembly Overseer",CHARACTER,ENGINEER,2,2,3,2,0,,#{D} : Activate the {j} triggers of target Permanent you control.# (Discard me from Reserve to do this.),,,,,,,,,,,,,,
ALT_CORE_B_AX_10_R2,ALT_CORE_B_AX_10_C,OR,RARE,"Jian, Assembly Overseer","Jian, Assembly Overseer",CHARACTER,ENGINEER,2,2,3,2,0,,#{D} : Activate the {j} triggers of target Permanent you control.# (Discard me from Reserve to do this.),,,,,,,,,,,,,,
