ID;ID Base;Faction;Alteration;Name EN;Name FR;Name DE;Name ES;Name IT;Type;Sub-Type;Cost;Recall Cost;Vegetal;Mineral;Aquatic;Effect EN;Echo EN;Effect FR;Echo FR;Effect DE;Echo DE;Effect ES;Echo ES;Effect IT;Echo IT;Flavor EN;Flavor FR;Flavor DE;Flavor ES;Flavor IT;Numbering;Artist
ALT_BISE_A_AX_56_C;ALT_BISE_A_AX_56_C;AX;COMMON;Icarus;Icarus;Icarus;Icarus;Icarus;CHARACTER;ADVENTURER;4;3;4;4;2;$[SCOUT_1] {1}.  {J} Ready all cards in your Reserve.;;;;;;;;;;Casting off boosters!;;;;;;Justice Wong
ALT_BISE_A_AX_56_R1;ALT_BISE_A_AX_56_C;AX;RARE;Icarus;Icarus;Icarus;Icarus;Icarus;CHARACTER;ADVENTURER;4;3;4;4;2;$[SCOUT_1] {1}. ;#{I} You may play exhausted cards from your Reserve.#;;;;;;;;;Casting off boosters!;;;;;;Justice Wong
ALT_BISE_A_AX_56_R2;ALT_BISE_A_AX_56_C;YZ;RARE;Icarus;Icarus;Icarus;Icarus;Icarus;CHARACTER;ADVENTURER;4;3;4;4;2;$[SCOUT_1] {1}.  {J} Ready all cards in your Reserve.;;;;;;;;;;Casting off boosters!;;;;;;Justice Wong
ALT_BISE_A_BR_58_C;ALT_BISE_A_BR_58_C;BR;COMMON;Theseus;Theseus;Theseus;Theseus;Theseus;CHARACTER;ADVENTURER;8;8;6;6;6;$[SCOUT_3] {3}.  {J} Return target Character to its owner's hand.  {R} I gain 2 boosts.;;;;;;;;;;What a surprise, he's pulling out the big cards.;;;;;;Kevin Sidharta
ALT_BISE_A_BR_58_R1;ALT_BISE_A_BR_58_C;BR;RARE;Theseus;Theseus;Theseus;Theseus;Theseus;CHARACTER;ADVENTURER;8;8;6;6;6;#$[SCOUT_4] {4}.#  {J} Send target Character #to Reserve.#  {R} I gain #3 boosts.#;;;;;;;;;;What a surprise, he's pulling out the big cards.;;;;;;Kevin Sidharta
ALT_BISE_A_BR_58_R2;ALT_BISE_A_BR_58_C;MU;RARE;Theseus;Theseus;Theseus;Theseus;Theseus;CHARACTER;ADVENTURER;8;8;6;6;6;$[SCOUT_3] {3}.  {J} Return target Character to its owner's hand.  {R} I gain 2 boosts.;;;;;;;;;;What a surprise, he's pulling out the big cards.;;;;;;Kevin Sidharta
ALT_BISE_A_LY_53_C;ALT_BISE_A_LY_53_C;LY;COMMON;Daedalus;Daedalus;Daedalus;Daedalus;Daedalus;CHARACTER;ENGINEER;3;2;0;3;3;{H} Target a Character in Reserve. Then, roll a die:  • On a 4+, we both gain 1 boost.  • On a 1-3, it gains 1 boost.;;;;;;;;;;If you're lost, listen out for the announcements from the central stage.;;;;;;Zael
ALT_BISE_A_LY_53_R1;ALT_BISE_A_LY_53_C;LY;RARE;Daedalus;Daedalus;Daedalus;Daedalus;Daedalus;CHARACTER;ENGINEER;3;#3#;0;3;3;#$[SCOUT_1] {1}.#  #{J}# Target another Character #in play# or in Reserve. Then, roll a die:  • On a 4+, we both gain 1 boost.  • On a 1-3, it gains 1 boost.;;;;;;;;;;If you're lost, listen out for the announcements from the central stage.;;;;;;Zael
ALT_BISE_A_LY_53_R2;ALT_BISE_A_LY_53_C;BR;RARE;Daedalus;Daedalus;Daedalus;Daedalus;Daedalus;CHARACTER;ENGINEER;3;#3#;0;3;3;#$[SCOUT_1] {1}.#  #{J}# Target another Character #in play# or in Reserve. Then, roll a die:  • On a 4+, we both gain 1 boost.  • On a 1-3, it gains 1 boost.;;;;;;;;;;If you're lost, listen out for the announcements from the central stage.;;;;;;Zael
ALT_BISE_A_MU_58_C;ALT_BISE_A_MU_58_C;MU;COMMON;The Minotaur;The Minotaur;The Minotaur;The Minotaur;The Minotaur;CHARACTER;ANIMAL DRUID;6;6;5;5;5;$[SCOUT_3] {3}.  {J} Target Character with Hand Cost {3} or less gains [ANCHORED].;;;;;;;;;;Our mascot will always be available for a few selfies.;;;;;;Zero Wen
