ID;ID Base;Faction;Alteration;Name EN;Name FR;Name DE;Name ES;Name IT;Type;Sub-Type;Cost;Recall Cost;Vegetal;Mineral;Aquatic;Effect EN;Echo EN;Effect FR;Echo FR;Effect DE;Echo DE;Effect ES;Echo ES;Effect IT;Echo IT;Flavor EN;Flavor FR;Flavor DE;Flavor ES;Flavor IT;Numbering;Artist
ALT_CYCLONE_B_AX_31_C;ALT_CYCLONE_B_AX_31_C;AX;COMMON;Brassbug;;;;;TOKEN;ROBOT;0;0;2;2;2;(If I leave the Expedition zone, remove me from the game.);;;;;;;;;;10,000 feet... 9,500 feet... 9,000 feet...;;;;;;Zero Wen
ALT_CYCLONE_B_AX_65_C;ALT_CYCLONE_B_AX_65_C;AX;COMMON;Isaree & Pebble;;;;;HERO;0;0;0;;;;"At Noon — If you are first player, create an [AEROLITH] token in your Landmarks. (It's a Permanent with ""When I'm sacrificed — Resupply. {T}, {1}: Sacrifice me."")";;;;;;;;;;Science's role is to serve the people, not the other way around;;;;;;Justice Wong
ALT_CYCLONE_B_AX_66_C;ALT_CYCLONE_B_AX_66_C;AX;COMMON;Gavroche;;;;;CHARACTER;CITIZEN;1;2;0;1;1;"{R} Create an [AEROLITH] token in your Landmarks. (It's a Permanent with ""When I'm sacrificed — Resupply. {T}, {1}: Sacrifice me."")";;;;;;;;;;He fills his basket and retorts by thumbing his nose.;;;;;;Anh Tung
ALT_CYCLONE_B_AX_66_R1;ALT_CYCLONE_B_AX_66_C;AX;RARE;Gavroche;;;;;CHARACTER;CITIZEN;1;#1#;0;1;1;{R} #You may sacrifice a Permanent to# create an [AEROLITH] token in your Landmarks.;;;;;;;;;;He fills his basket and retorts by thumbing his nose.;;;;;;Anh Tung
ALT_CYCLONE_B_AX_66_R2;ALT_CYCLONE_B_AX_66_C;LY;RARE;Gavroche;;;;;CHARACTER;CITIZEN;1;#1#;0;1;1;{R} #You may discard a card from your Reserve to# create an [AEROLITH] token in your Landmarks.;;;;;;;;;;He fills his basket and retorts by thumbing his nose.;;;;;;Anh Tung
ALT_CYCLONE_B_AX_67_C;ALT_CYCLONE_B_AX_67_C;AX;COMMON;Demolition Expert;;;;;CHARACTER;ENGINEER;2;2;2;2;0;"{H} Create an [AEROLITH] token in your Landmarks. (It's a Permanent with ""When I'm sacrificed — Resupply. {T}, {1}: Sacrifice me."")  {R} You may sacrifice a Permanent.";;;;;;;;;;Mining aerolith is dangerous, but it's well worth the risk.;;;;;;Victor Canton
ALT_CYCLONE_B_AX_67_R1;ALT_CYCLONE_B_AX_67_C;AX;RARE;Demolition Expert;;;;;CHARACTER;ENGINEER;2;2;2;2;#1#;{H} Create an [AEROLITH] token in #target player's# Landmarks.  {R} You may sacrifice a Permanent #to give 1 boost to target Character.#;;;;;;;;;;Mining aerolith is dangerous, but it's well worth the risk.;;;;;;Victor Canton
ALT_CYCLONE_B_AX_67_R2;ALT_CYCLONE_B_AX_67_C;YZ;RARE;Demolition Expert;;;;;CHARACTER;ENGINEER;2;2;2;2;#1#;{H} Create an [AEROLITH] token in #target player's# Landmarks.  {R} You may sacrifice a Permanent #to give 1 boost to target Character.#;;;;;;;;;;Mining aerolith is dangerous, but it's well worth the risk.;;;;;;Victor Canton
ALT_CYCLONE_B_AX_68_C;ALT_CYCLONE_B_AX_68_C;AX;COMMON;Bessie Coleman;;;;;CHARACTER;ADVENTURER;2;2;2;2;2;When you sacrifice a Permanent — If I have no boosts, I gain 1 boost.;;;;;;;;;;"""I was destined to fly. I was born to fly."" - Bessie";;;;;;DOBA
ALT_CYCLONE_B_AX_68_R1;ALT_CYCLONE_B_AX_68_C;AX;RARE;Bessie Coleman;;;;;CHARACTER;ADVENTURER;2;2;2;2;2;When you sacrifice a Permanent — If I have #less than 2 boosts,# I gain 1 boost.;;;;;;;;;;"""I was destined to fly. I was born to fly."" - Bessie";;;;;;DOBA
