ID;ID Base;Faction;Alteration;Name;Name En;Colonne3;Colonne2;Colonne1;Type;Sub-Type;Cost;Recall Cost;Vegetal;Mineral;Aquatic;Effect;Echo;;;;;;;;;flavor;;;;;#;Artist;Placeholder Y/N;Etat Brief;Tags;State;Changement;Commentaire;Promo?;;;;;
ALT_DUSTER_B_AX_85_C;ALT_DUSTER_B_AX_85_C;AX;COMMON;Della & Bolt;Della & Bolt;;;;HERO;;;;;;;{T} : Ready target Permanent in play or target card in Reserve. This costs {2} more to target a Permanent in play with Hand Cost {5} or more.;;;;;;;;;;Living creatures are the most beautiful mechanisms of all.;;;;;001;Tristan Bideau;FAUX;Brief Done;;;;;B;;;;;
ALT_DUSTER_B_AX_88_C;ALT_DUSTER_B_AX_88_C;AX;COMMON;Ira, Fair Attendee;Ira, Fair Attendee;;;;CHARACTER;CITIZEN;1;1;1;0;1;;;;;;;;;;;"""One day, son, you'll show off your own creations here."" — Della";;;;;002;Tristan Bideau;FAUX;Brief Done;Simple;;;;B;;;;;
ALT_DUSTER_B_AX_88_R1;ALT_DUSTER_B_AX_88_C;AX;RARE;Ira, Fair Attendee;Ira, Fair Attendee;;;;CHARACTER;CITIZEN;1;#2#;#2#;0;1;#{R} Create a [MANASEED] token in your Landmarks.#;;;;;;;;;;"""One day, son, you'll show off your own creations here."" — Della";;;;;002;Tristan Bideau;FAUX;Brief Done;Mainfeature 1 - Manaseed;;;;B;;;;;
ALT_DUSTER_B_AX_88_R2;ALT_DUSTER_B_AX_88_C;BR;RARE;Ira, Fair Attendee;Ira, Fair Attendee;;;;CHARACTER;CITIZEN;1;#2#;#2#;0;1;#{R} Create a [MANASEED] token in your Landmarks.#;;;;;;;;;;"""One day, son, you'll show off your own creations here."" — Della";;;;;002;Tristan Bideau;FAUX;Brief Done;Mainfeature 1 - Manaseed;;;;B;;;;;
ALT_DUSTER_B_AX_87_C;ALT_DUSTER_B_AX_87_C;AX;COMMON;Axiom Machinist;Axiom Machinist;;;;CHARACTER;ENGINEER;2;1;1;1;1;{H} You may ready target Permanent in play or target card in Reserve.;;;;;;;;;;From Kelon to Sap to Manaseed, the Axiom never stop experimenting with alternative energy sources.;;;;;003;Jean-Baptiste Andrier;FAUX;Brief Done;{T};;;;B;;;;;
ALT_DUSTER_B_AX_87_R1;ALT_DUSTER_B_AX_87_C;AX;RARE;Axiom Machinist;Axiom Machinist;;;;CHARACTER;ENGINEER;2;#2#;1;1;1;#{J}# You may ready target Permanent in play or target card in Reserve.;;;;;;;;;;From Kelon to Sap to Manaseed, the Axiom never stop experimenting with alternative energy sources.;;;;;003;Jean-Baptiste Andrier;FAUX;Brief Done;{T};;;;B;;;;;
ALT_DUSTER_B_AX_87_R2;ALT_DUSTER_B_AX_87_C;OR;RARE;Axiom Machinist;Axiom Machinist;;;;CHARACTER;ENGINEER;2;#2#;1;1;1;#{J}# You may ready target Permanent in play or target card in Reserve.;;;;;;;;;;From Kelon to Sap to Manaseed, the Axiom never stop experimenting with alternative energy sources.;;;;;003;Jean-Baptiste Andrier;FAUX;Brief Done;{T};;;;B;;;;;
ALT_DUSTER_B_AX_94_C;ALT_DUSTER_B_AX_94_C;AX;COMMON;Leonardo da Vinci;Leonardo da Vinci;;;;CHARACTER;ARTIST ENGINEER;2;2;2;3;0;{R} You may exhaust ({T}) a Permanent you control to $[RESUPPLY_INF].;;;;;;;;;;"""The noblest pleasure is the joy of understanding."" — Leonardo da Vinci";;;;;004;Atanas Lozanski;FAUX;Envoi Brief;{T}, Card Advantage, {R};;;;B;;;;;
ALT_DUSTER_B_AX_94_R1;ALT_DUSTER_B_AX_94_C;AX;RARE;Leonardo da Vinci;Leonardo da Vinci;;;;CHARACTER;ARTIST ENGINEER;2;2;2;3;0;{R} You may exhaust ({T}) a Permanent you control to #draw a card.#;;;;;;;;;;"""The noblest pleasure is the joy of understanding."" — Leonardo da Vinci";;;;;004;Atanas Lozanski;FAUX;Envoi Brief;{T}, Card Advantage, {R};;;;B;;;;;
ALT_DUSTER_B_AX_94_R2;ALT_DUSTER_B_AX_94_C;OR;RARE;Leonardo da Vinci;Leonardo da Vinci;;;;CHARACTER;ARTIST ENGINEER;2;2;2;3;0;{R} You may exhaust ({T}) a Permanent you control to #draw a card.#;;;;;;;;;;"""The noblest pleasure is the joy of understanding."" — Leonardo da Vinci";;;;;004;Atanas Lozanski;FAUX;Envoi Brief;{T}, Card Advantage, {R};;;;B;;;;;
