ID,ID Base,Faction,Alteration,Name EN,Name DE,Type,Subtyp,Cost,Recall Cost,Vegetal,Mineral,Aquatic,Effekt,Echo,Intentions Implémentation CE,Intentions Implémentation GD CE,Functions Tag,Intentions Lore CE,Profils Tag,Complexity CE,Score,Flavor CE,Illustration,Identité Effet,Identité Stat,Identité Design,Reflexions jeu Equipe,Rare dans les precos ?
ALT_CORE_B_AX_01_C,ALT_CORE_B_AX_01_C,AX,COMMON,Sierra & Oddball,Sierra & Botball,,,,,,,,"Wenn du eine bleibende Karte mit Handkosten {3} oder mehr spielst — Du darfst mich erschöpfen ({T}), um eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl zu erschaffen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_02_C,ALT_CORE_B_AX_02_C,AX,COMMON,Treyst & Rossum,Treyst & Rossum,,,,,,,,"Wenn eine Karte am Nachmittag deine Reserve verlässt und falls ich weniger als fünf Schrottzähler habe — Ich erhalte einen Schrottzähler.  Falls ich fünf oder mehr Schrottzähler habe, erhalte ich ""{T} : Ziehe eine Karte und lege dann eine Karte aus deiner Hand in die Reserve.""",,,,,,,,,,,,,,,
ALT_CORE_B_AX_03_C,ALT_CORE_B_AX_03_C,AX,COMMON,Subhash & Marmo,Subhash & Marmo,,,,,,,,"Zum Mittag — Du darfst {1} bezahlen und eine Karte aus deiner Hand in die Reserve legen, um eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl zu erschaffen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_C,ALT_CORE_B_AX_04_C,AX,COMMON,Kelon Elemental,Kelon-Elementar,,,,,,,,{H} Lege eine Karte aus deiner Hand in die Reserve.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_R1,ALT_CORE_B_AX_04_C,AX,RARE,Kelon Elemental,Kelon-Elementar,,,,,,,,{H} Du #darfst# eine Karte aus deiner Hand in die Reserve legen.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_R2,ALT_CORE_B_AX_04_C,MU,RARE,Kelon Elemental,Kelon-Elementar,,,,,,,,{H} Du #darfst# eine Karte aus deiner Hand in die Reserve legen.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_05_C,ALT_CORE_B_AX_05_C,AX,COMMON,Foundry Engineer,Gießerei-Ingenieurin,,,,,,,,"{R} Die nächste bleibende Karte, die du heute Nachmittag spielst, kostet {1} weniger.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_05_R1,ALT_CORE_B_AX_05_C,AX,RARE,Foundry Engineer,Gießerei-Ingenieurin,,,,,,,,"{R} Die nächste bleibende Karte, die du heute Nachmittag spielst, kostet #{2} weniger#.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_05_R2,ALT_CORE_B_AX_05_C,OR,RARE,Foundry Engineer,Gießerei-Ingenieurin,,,,,,,,"{R} Die nächste bleibende Karte, die du heute Nachmittag spielst, kostet #{2} weniger#.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_06_C,ALT_CORE_B_AX_06_C,AX,COMMON,Ogun,Ogun,,,,,,,,"{J} Roboter, die du kontrollierst, erhalten 1 Verstärkung$[BB].",,,,,,,,,,,,,,,
ALT_CORE_B_AX_06_R1,ALT_CORE_B_AX_06_C,AX,RARE,Ogun,Ogun,,,,,,,,"{J} #Du darfst {2} bezahlen, um eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl zu erschaffen.# Roboter, die du kontrollierst, erhalten dadurch 1 Verstärkung.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_06_R2,ALT_CORE_B_AX_06_C,MU,RARE,Ogun,Ogun,,,,,,,,"{J} #Pflanzen#, die du kontrollierst, erhalten 1 Verstärkung.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_07_C,ALT_CORE_B_AX_07_C,AX,COMMON,Foundry Mechanic,Gießerei-Mechanikerin,,,,,,,,,"{D} : Die nächste bleibende Karte, die du in dieser Runde spielst, kostet {1} weniger. (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",,,,,,,,,,,,,,
ALT_CORE_B_AX_07_R1,ALT_CORE_B_AX_07_C,AX,RARE,Foundry Mechanic,Gießerei-Mechanikerin,,,,,,,,,"{D} : Die nächste bleibende Karte, die du in dieser Runde spielst, kostet {1} weniger. (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",,,,,,,,,,,,,,
ALT_CORE_B_AX_07_R2,ALT_CORE_B_AX_07_C,OR,RARE,Foundry Mechanic,Gießerei-Mechanikerin,,,,,,,,,"{D} : Die nächste bleibende Karte, die du in dieser Runde spielst, kostet {1} weniger. (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",,,,,,,,,,,,,,
ALT_CORE_B_AX_08_C,ALT_CORE_B_AX_08_C,AX,COMMON,Axiom Salvager,Axiom-Bergungsarbeiter,,,,,,,,{R} $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_08_R1,ALT_CORE_B_AX_08_C,AX,RARE,Axiom Salvager,Axiom-Bergungsarbeiter,,,,,,,,{R} $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_08_R2,ALT_CORE_B_AX_08_C,BR,RARE,Axiom Salvager,Axiom-Bergungsarbeiter,,,,,,,,{R} $[RESUPPLY].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_09_C,ALT_CORE_B_AX_09_C,AX,COMMON,Tinker Bell,Tinkerbell,,,,,,,,{R} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_09_R1,ALT_CORE_B_AX_09_C,AX,RARE,Tinker Bell,Tinkerbell,,,,,,,,{R} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_09_R2,ALT_CORE_B_AX_09_C,LY,RARE,Tinker Bell,Tinkerbell,,,,,,,,{R} $[SABOTAGE].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_10_C,ALT_CORE_B_AX_10_C,AX,COMMON,"Jian, Assembly Overseer","Jian, Vorarbeiter der Versammlung",,,,,,,,,,,,,,,,,,,,,,,
ALT_CORE_B_AX_10_R1,ALT_CORE_B_AX_10_C,AX,RARE,"Jian, Assembly Overseer","Jian, Vorarbeiter der Versammlung",,,,,,,,,"#{D} : Aktiviere die {j} Auslöser einer bleibenden Karte deiner Wahl, die du kontrollierst.# (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",,,,,,,,,,,,,,
ALT_CORE_B_AX_10_R2,ALT_CORE_B_AX_10_C,OR,RARE,"Jian, Assembly Overseer","Jian, Vorarbeiter der Versammlung",,,,,,,,,"#{D} : Aktiviere die {j} Auslöser einer bleibenden Karte deiner Wahl, die du kontrollierst.# (Lege mich aus der Reserve ab, um diese Aktion auszuführen.)",,,,,,,,,,,,,,
ALT_CORE_B_AX_11_C,ALT_CORE_B_AX_11_C,AX,COMMON,Amelia Earhart,Amelia Earhart,,,,,,,,,,,,,,,,,,,,,,,
ALT_CORE_B_AX_11_R1,ALT_CORE_B_AX_11_C,AX,RARE,Amelia Earhart,Amelia Earhart,,,,,,,,#{H} Ich erhalte 1 Verstärkung.#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_11_R2,ALT_CORE_B_AX_11_C,OR,RARE,Amelia Earhart,Amelia Earhart,,,,,,,,#{H} Ich erhalte 1 Verstärkung.#,,,,,,,,,,,,,,,
ALT_CORE_B_AX_12_C,ALT_CORE_B_AX_12_C,AX,COMMON,Three Little Pigs,Drei kleine Schweinchen,,,,,,,,"{J} Falls du mindestens zwei Wahrzeichen kontrollierst, erhalte ich 1 Verstärkung$[BB]. (Karten in der Reserve werden nicht kontrolliert.)",,,,,,,,,,,,,,,
ALT_CORE_B_AX_12_R1,ALT_CORE_B_AX_12_C,AX,RARE,Three Little Pigs,Drei kleine Schweinchen,,,,,,,,"{J} Falls du mindestens zwei Wahrzeichen kontrollierst, erhalte ich #2 Verstärkungen$[BB]#. (Karten in der Reserve werden nicht kontrolliert.)",,,,,,,,,,,,,,,
ALT_CORE_B_AX_12_R2,ALT_CORE_B_AX_12_C,BR,RARE,Three Little Pigs,Drei kleine Schweinchen,,,,,,,,"{J} Falls du #mindestens ein# Wahrzeichen kontrollierst, erhalte ich 1 Verstärkung.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_13_C,ALT_CORE_B_AX_13_C,AX,COMMON,Ada Lovelace,Ada Lovelace,,,,,,,,"{R} Du darfst eine Karte aus deiner Hand in deine Reserve legen. Falls es eine bleibende Karte ist, ziehe eine Karte.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_13_R1,ALT_CORE_B_AX_13_C,AX,RARE,Ada Lovelace,Ada Lovelace,,,,,,,,"{R} Du darfst eine Karte aus deiner Hand in deine Reserve legen, #um eine Karte zu ziehen#.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_13_R2,ALT_CORE_B_AX_13_C,YZ,RARE,Ada Lovelace,Ada Lovelace,,,,,,,,"{R} Du darfst eine Karte aus deiner Hand in deine Reserve legen. Falls es ein #Zauber# ist, ziehe eine Karte.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_14_C,ALT_CORE_B_AX_14_C,AX,COMMON,Coppélia,Coppélia,,,,,,,,Wenn ich aus deiner Hand in die Reserve gehe — Du darfst mich gratis spielen und ich erhalte $[ASLEEP].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_14_R1,ALT_CORE_B_AX_14_C,AX,RARE,Coppélia,Coppélia,,,,,,,,Wenn ich aus deiner Hand in die Reserve gehe — Du darfst mich gratis spielen und ich erhalte $[ASLEEP].,,,,,,,,,,,,,,,
