ID,ID Base,Faction,Alteration,Name,Name ES,Type,Sub-Type,Cost,Recall Cost,Vegetal,Mineral,Aquatic,Effect,Echo,Intentions Implémentation CE,Intentions Implémentation GD CE,Functions Tag,Intentions Lore CE,Profils Tag,Complexity CE,Score,Flavor CE,Illustration,Identité Effet,Identité Stat,Identité Design,Reflexions jeu Equipe,Rare dans les precos ?
ALT_CORE_B_AX_01_C,ALT_CORE_B_AX_01_C,AX,COMMON,Sierra & Oddball,Sierra y Estrambot,HERO,,,,,,,Cuando juegues un permanente con coste desde la mano de {3} o más — Puedes agotarme ({T}) para crear una ficha de robot [BRASSBUG] en una expedición objetivo.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_02_C,ALT_CORE_B_AX_02_C,AX,COMMON,Treyst & Rossum,Treyst y Rossum,HERO,,,,,,,"Cuando una carta abandone tu reserva durante la tarde, si tengo menos de cinco contadores de chatarra — Gano un contador de chatarra.  Si tengo cinco contadores de chatarra o más, gano ""{T}: Roba una carta y luego coloca una carta de tu mano en la reserva"".",,,,,,,,,,,,,,,
ALT_CORE_B_AX_03_C,ALT_CORE_B_AX_03_C,AX,COMMON,Subhash & Marmo,Subhash y Marmo,HERO,,,,,,,Al mediodía — Puedes pagar {1} y colocar una carta de tu mano en la reserva para crear una ficha de robot [BRASSBUG] en una expedición objetivo.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_C,ALT_CORE_B_AX_04_C,AX,COMMON,Kelon Elemental,Elemental de kelón,CHARACTER,ELEMENTAL,2,2,1,3,3,{H} Coloca una carta de tu mano en la reserva.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_R1,ALT_CORE_B_AX_04_C,AX,RARE,Kelon Elemental,Elemental de kelón,CHARACTER,ELEMENTAL,2,2,1,3,3,{H} #Puedes# colocar una carta de tu mano en la reserva.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_04_R2,ALT_CORE_B_AX_04_C,MU,RARE,Kelon Elemental,Elemental de kelón,CHARACTER,ELEMENTAL,2,2,1,3,3,{H} #Puedes# colocar una carta de tu mano en la reserva.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_05_C,ALT_CORE_B_AX_05_C,AX,COMMON,Foundry Engineer,Ingeniera de la Fundición,CHARACTER,ENGINEER,2,2,2,2,1,{R} El siguiente permanente que juegues esta tarde cuesta {1} menos.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_05_R1,ALT_CORE_B_AX_05_C,AX,RARE,Foundry Engineer,Ingeniera de la Fundición,CHARACTER,ENGINEER,2,2,2,2,1,{R} El siguiente permanente que juegues esta tarde cuesta #{2} menos#.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_05_R2,ALT_CORE_B_AX_05_C,OR,RARE,Foundry Engineer,Ingeniera de la Fundición,CHARACTER,ENGINEER,2,2,2,2,1,{R} El siguiente permanente que juegues esta tarde cuesta #{2} menos#.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_06_C,ALT_CORE_B_AX_06_C,AX,COMMON,Ogun,Ogun,CHARACTER,ENGINEER_DEITY,2,2,2,1,1,{J} Los robots que controlas ganan 1 potenciador$[BB].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_06_R1,ALT_CORE_B_AX_06_C,AX,RARE,Ogun,Ogun,CHARACTER,ENGINEER_DEITY,2,2,2,1,1,"{J} #Puedes pagar {2} para crear una ficha de robot [BRASSBUG] en una expedición objetivo.# Luego, los robots que controlas ganan 1 potenciador.",,,,,,,,,,,,,,,0
ALT_CORE_B_AX_06_R2,ALT_CORE_B_AX_06_C,MU,RARE,Ogun,Ogun,CHARACTER,ENGINEER_DEITY,2,2,2,1,1,{J} Las #plantas# que controlas ganan 1 potenciador.,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_07_C,ALT_CORE_B_AX_07_C,AX,COMMON,Foundry Mechanic,Mecánica de la Fundición,CHARACTER,ENGINEER,1,1,0,1,1,,{D}: El siguiente permanente que juegues este turno cuesta {1} menos. (Descártame de la reserva para hacer esto.),,,,,,,,,,,,,,0
ALT_CORE_B_AX_07_R1,ALT_CORE_B_AX_07_C,AX,RARE,Foundry Mechanic,Mecánica de la Fundición,CHARACTER,ENGINEER,1,1,#1#,1,#2#,,{D}: El siguiente permanente que juegues este turno cuesta {1} menos. (Descártame de la reserva para hacer esto.),,,,,,,,,,,,,,1
ALT_CORE_B_AX_07_R2,ALT_CORE_B_AX_07_C,OR,RARE,Foundry Mechanic,Mecánica de la Fundición,CHARACTER,ENGINEER,1,1,#1#,1,#2#,,{D}: El siguiente permanente que juegues este turno cuesta {1} menos. (Descártame de la reserva para hacer esto.),,,,,,,,,,,,,,1
ALT_CORE_B_AX_08_C,ALT_CORE_B_AX_08_C,AX,COMMON,Axiom Salvager,Chatarrero de Axiom,CHARACTER,ENGINEER,1,2,1,1,1,{R} $[RESUPPLY].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_08_R1,ALT_CORE_B_AX_08_C,AX,RARE,Axiom Salvager,Chatarrero de Axiom,CHARACTER,ENGINEER,1,#1#,1,1,#0#,{R} $[RESUPPLY].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_08_R2,ALT_CORE_B_AX_08_C,BR,RARE,Axiom Salvager,Chatarrero de Axiom,CHARACTER,ENGINEER,1,2,1,1,1,{R} $[RESUPPLY].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_09_C,ALT_CORE_B_AX_09_C,AX,COMMON,Tinker Bell,Campanilla,CHARACTER,FAIRY,3,3,1,3,3,{R} $[SABOTAGE].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_09_R1,ALT_CORE_B_AX_09_C,AX,RARE,Tinker Bell,Campanilla,CHARACTER,FAIRY,#2#,3,1,3,3,{R} $[SABOTAGE].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_09_R2,ALT_CORE_B_AX_09_C,LY,RARE,Tinker Bell,Campanilla,CHARACTER,FAIRY,#2#,3,1,3,3,{R} $[SABOTAGE].,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_10_C,ALT_CORE_B_AX_10_C,AX,COMMON,"Jian, Assembly Overseer","Jian, supervisor de ensamblaje",CHARACTER,ENGINEER,2,2,3,2,0,,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_10_R1,ALT_CORE_B_AX_10_C,AX,RARE,"Jian, Assembly Overseer","Jian, supervisor de ensamblaje",CHARACTER,ENGINEER,2,2,3,2,0,,#{D}: Activa los efectos disparados {j} de un permanente objetivo que controles.# (Descártame de la reserva para hacer esto.),,,,,,,,,,,,,,1
ALT_CORE_B_AX_10_R2,ALT_CORE_B_AX_10_C,OR,RARE,"Jian, Assembly Overseer","Jian, supervisor de ensamblaje",CHARACTER,ENGINEER,2,2,3,2,0,,#{D}: Activa los efectos disparados {j} de un permanente objetivo que controles.# (Descártame de la reserva para hacer esto.),,,,,,,,,,,,,,0
ALT_CORE_B_AX_11_C,ALT_CORE_B_AX_11_C,AX,COMMON,Amelia Earhart,Amelia Earhart,CHARACTER,ADVENTURER,3,1,2,2,2,,,,,,,,,,,,,,,,0
ALT_CORE_B_AX_11_R1,ALT_CORE_B_AX_11_C,AX,RARE,Amelia Earhart,Amelia Earhart,CHARACTER,ADVENTURER,3,1,2,2,2,#{H} Gano 1 potenciador.#,,,,,,,,,,,,,,,0
