ID,ID Base,Faction,Alteration,Name,Name FR,Type,Sub-Type,Cost,Recall Cost,Vegetal,Mineral,Aquatic,Effect,Echo,Rare dans les precos ?,Intentions Implémentation GD CE,Functions Tag,Intentions Lore CE,Profils Tag,Complexity CE,Score,Flavor CE,Illustration,Identité Effet,Identité Stat,Identité Design,Reflexions jeu Equipe,Reflexion Chacun pour soi
ALT_CORE_B_AX_01_C,ALT_CORE_B_AX_01_C,AX,COMMON,Sierra & Oddball,Sierra & Oddball,HERO,,,,,,,Lorsque vous jouez un Permanent avec un Coût de Main {3} ou plus — Vous pouvez m'épuiser ({T}) pour créer un jeton Robot [BRASSBUG] dans l'Expédition ciblée.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_02_C,ALT_CORE_B_AX_02_C,AX,COMMON,Treyst & Rossum,Treyst & Rossum,HERO,,,,,,,"Lorsqu'une carte quitte votre Réserve pendant l'Après-midi, si j'ai moins de cinq compteurs Ferraille — Je gagne un compteur Ferraille.  Si j'ai au moins cinq compteurs Ferraille, je gagne « {T} : Piochez une carte, puis mettez une carte de votre main en Réserve. »",,,,,,,,,,,,,,,
ALT_CORE_B_AX_03_C,ALT_CORE_B_AX_03_C,AX,COMMON,Subhash & Marmo,Subhash & Marmo,HERO,,,,,,,À Midi — Vous pouvez payer {1} et mettre une carte de votre main en Réserve pour créer un jeton Robot [BRASSBUG] dans l'Expédition ciblée.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_C,ALT_CORE_B_AX_04_C,AX,COMMON,Kelon Elemental,Élémentaire de Kélon,CHARACTER,ELEMENTAL,2,2,1,3,3,{H} Mettez une carte de votre main en Réserve.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_R1,ALT_CORE_B_AX_04_C,AX,RARE,Kelon Elemental,Élémentaire de Kélon,CHARACTER,ELEMENTAL,2,2,1,3,3,{H} #Vous pouvez mettre# une carte de votre main en Réserve.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_04_R2,ALT_CORE_B_AX_04_C,MU,RARE,Kelon Elemental,Élémentaire de Kélon,CHARACTER,ELEMENTAL,2,2,1,3,3,{H} #Vous pouvez mettre# une carte de votre main en Réserve.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_05_C,ALT_CORE_B_AX_05_C,AX,COMMON,Foundry Engineer,Ingénieure de la Fonderie,CHARACTER,ENGINEER,2,2,2,2,1,{R} Le prochain Permanent que vous jouez cet Après-midi coûte {1} de moins.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_05_R1,ALT_CORE_B_AX_05_C,AX,RARE,Foundry Engineer,Ingénieure de la Fonderie,CHARACTER,ENGINEER,2,2,2,2,1,{R} Le prochain Permanent que vous jouez cet Après-midi coûte #{2} de moins#.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_05_R2,ALT_CORE_B_AX_05_C,OR,RARE,Foundry Engineer,Ingénieure de la Fonderie,CHARACTER,ENGINEER,2,2,2,2,1,{R} Le prochain Permanent que vous jouez cet Après-midi coûte #{2} de moins#.,,0,,,,,,,,,,,,,
ALT_CORE_B_AX_06_C,ALT_CORE_B_AX_06_C,AX,COMMON,Ogun,Ogun,CHARACTER,ENGINEER DEITY,2,2,2,1,1,{J} Les Robots que vous contrôlez gagnent 1 boost$[BB].,,0,,,,,,,,,,,,,
