ID,ID Base,Faction,Alteration,Name,Name DE,Type,Subtyp,Cost,Recall Cost,Vegetal,Mineral,Aquatic,Effekt,Echo,Intentions Implémentation CE,Intentions Implémentation GD CE,Functions Tag,Intentions Lore CE,Profils Tag,Complexity CE,Score,Flavor CE,Illustration,Identité Effet,Identité Stat,Identité Design,Reflexions jeu Equipe,Reflexion Chacun pour soi
ALT_CORE_B_AX_01_C,ALT_CORE_B_AX_01_C,AX,COMMON,Sierra & Oddball,Sierra & Botball,HERO,,,,,,,"Wenn du eine bleibende Karte mit Handkosten {3} oder mehr spielst, darfst du mich erschöpfen ({T}), um eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl zu erschaffen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_02_C,ALT_CORE_B_AX_02_C,AX,COMMON,Treyst & Rossum,Treyst & Rossum,HERO,,,,,,,"Falls eine Karte am Nachmittag deine Reserve verlässt und falls ich weniger als fünf Schrottzähler habe — Ich erhalte einen Schrottzähler.  Falls ich fünf oder mehr Schrottzähler habe, erhalte ich ""{T} : Ziehe eine Karte und lege dann eine Karte aus deiner Hand in deine Reserve.""",,,,,,,,,,,,,,,
ALT_CORE_B_AX_03_C,ALT_CORE_B_AX_03_C,AX,COMMON,Subhash & Marmo,Subhash & Marmo,HERO,,,,,,,"Zum Mittag — Du darfst {1} bezahlen und eine Karte aus deiner Hand in deine Reserve legen, um eine [BRASSBUG]-Robotermarke in einer Expedition deiner Wahl zu erschaffen.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_C,ALT_CORE_B_AX_04_C,AX,COMMON,Kelon Elemental,Kelon-Elementar,CHARACTER,ELEMENTAL,2,2,1,3,3,{H} Lege eine Karte aus deiner Hand in deine Reserve.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_R1,ALT_CORE_B_AX_04_C,AX,RARE,Kelon Elemental,Kelon-Elementar,CHARACTER,ELEMENTAL,2,2,1,3,3,{H} Du #darfst# eine Karte aus deiner Hand in deine Reserve legen.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_R2,ALT_CORE_B_AX_04_C,MU,RARE,Kelon Elemental,Kelon-Elementar,CHARACTER,ELEMENTAL,2,2,1,3,3,{H} Du #darfst# eine Karte aus deiner Hand in deine Reserve legen.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_05_C,ALT_CORE_B_AX_05_C,AX,COMMON,Foundry Engineer,Gießerei-Ingenieurin,CHARACTER,ENGINEER,2,2,2,2,1,"{R} Die nächste bleibende Karte, die du heute Nachmittag spielst, kostet {1} weniger.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_05_R1,ALT_CORE_B_AX_05_C,AX,RARE,Foundry Engineer,Gießerei-Ingenieurin,CHARACTER,ENGINEER,2,2,2,2,1,"{R} Die nächste bleibende Karte, die du heute Nachmittag spielst, kostet #{2}# weniger.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_05_R2,ALT_CORE_B_AX_05_C,OR,RARE,Foundry Engineer,Gießerei-Ingenieurin,CHARACTER,ENGINEER,2,2,2,2,1,"{R} Die nächste bleibende Karte, die du heute Nachmittag spielst, kostet #{2}# weniger.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_06_C,ALT_CORE_B_AX_06_C,AX,COMMON,Ogun,Ogun,CHARACTER,ENGINEER_DEITY,2,2,2,1,1,"{J} Roboter, die du kontrollierst, erhalten 1 Verstärkung$[BB].",,,,,,,,,,,,,,,
