ID,ID Base,Faction,Alteration,Name,Nome It,Type,Sottotipo,Cost,Recall Cost,Vegetal,Mineral,Aquatic,Effetto,Eco,Intentions Implémentation CE,Intentions Implémentation GD CE,Functions Tag,Intentions Lore CE,Profils Tag,Complexity CE,Score,Flavor CE,Illustration,Identité Effet,Identité Stat,Identité Design,Reflexions jeu Equipe,Reflexion Chacun pour soi
ALT_CORE_B_AX_01_C,ALT_CORE_B_AX_01_C,AX,COMMON,Sierra & Oddball,Sierra e Strambo,HERO,,,,,,,Quando giochi un permanente con costo dalla mano pari o superiore a {3} — Puoi consumarmi ({T}) per creare una pedina Robot [BRASSBUG] nella spedizione bersaglio.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_02_C,ALT_CORE_B_AX_02_C,AX,COMMON,Treyst & Rossum,Treyst e Rossum,HERO,,,,,,,"Quando una carta lascia la tua Riserva durante il pomeriggio, se ho meno di cinque segnalini Rottame — Ottengo un segnalino Rottame.  Se ho cinque o più segnalini Rottame, ottengo ""{T} : Pesca una carta, poi metti una carta dalla tua mano nella Riserva.""",,,,,,,,,,,,,,,
ALT_CORE_B_AX_03_C,ALT_CORE_B_AX_03_C,AX,COMMON,Subhash & Marmo,Subhash e Marmo,HERO,,,,,,,A mezzogiorno — Puoi pagare {1} e mettere una carta dalla tua mano nella Riserva per creare una pedina Robot [BRASSBUG] nella spedizione bersaglio.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_C,ALT_CORE_B_AX_04_C,AX,COMMON,Kelon Elemental,Elementale di Kelon,CHARACTER,ELEMENTALE,2,2,1,3,3,{H} Metti una carta dalla tua mano nella Riserva.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_R1,ALT_CORE_B_AX_04_C,AX,RARE,Kelon Elemental,Elementale di Kelon,CHARACTER,ELEMENTALE,2,2,1,3,3,{H} #Puoi# mettere una carta dalla tua mano nella Riserva.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_04_R2,ALT_CORE_B_AX_04_C,MU,RARE,Kelon Elemental,Elementale di Kelon,CHARACTER,ELEMENTALE,2,2,1,3,3,{H} #Puoi# mettere una carta dalla tua mano nella Riserva.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_05_C,ALT_CORE_B_AX_05_C,AX,COMMON,Foundry Engineer,Ingegnera della Fonderia,CHARACTER,INGEGNERE,2,2,2,2,1,{R} Il prossimo permanente che giochi questo pomeriggio costa {1} in meno.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_05_R1,ALT_CORE_B_AX_05_C,AX,RARE,Foundry Engineer,Ingegnera della Fonderia,CHARACTER,INGEGNERE,2,2,2,2,1,{R} Il prossimo permanente che giochi questo pomeriggio costa #{2}# in meno.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_05_R2,ALT_CORE_B_AX_05_C,OR,RARE,Foundry Engineer,Ingegnera della Fonderia,CHARACTER,INGEGNERE,2,2,2,2,1,{R} Il prossimo permanente che giochi questo pomeriggio costa #{2}# in meno.,,,,,,,,,,,,,,,
ALT_CORE_B_AX_06_C,ALT_CORE_B_AX_06_C,AX,COMMON,Ogun,Ogun,CHARACTER,INGEGNERE_DIVINITÀ,2,2,2,1,1,{J} I Robot che controlli ottengono 1 rinforzo$[BB].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_06_R1,ALT_CORE_B_AX_06_C,AX,RARE,Ogun,Ogun,CHARACTER,INGEGNERE_DIVINITÀ,2,2,2,1,1,"{J} #Puoi pagare {2} per creare una pedina Robot [BRASSBUG] nella spedizione bersaglio.# Poi, i Robot che controlli ottengono 1 rinforzo.",,,,,,,,,,,,,,,
ALT_CORE_B_AX_06_R2,ALT_CORE_B_AX_06_C,MU,RARE,Ogun,Ogun,CHARACTER,INGEGNERE_DIVINITÀ,2,2,2,1,1,{J} Le #Piante# che controlli ottengono 1 rinforzo$[BB].,,,,,,,,,,,,,,,
ALT_CORE_B_AX_07_C,ALT_CORE_B_AX_07_C,AX,COMMON,Foundry Mechanic,Meccanica della Fonderia,CHARACTER,INGEGNERE,1,1,0,1,1,,{D} : Il prossimo permanente che giochi in questo turno costa {1} in meno. (Scartami dalla Riserva per giocare questa azione.),,,,,,,,,,,,,,
