trk_id;str_to_translate;context;fr_FR; es_ES; it_IT; de_DE
317693;Allow ${player_name} to take a triggered action;AbstractNode;;;;
317694;Pass;"AbstractNode;Altered";;;;
327601;${player_name} activates ${card_name} {J} effect;ActivateEffect;;;;
327600;activate {J} effect;ActivateEffect;;;;
331190;activate {J} effect of ${card_name};ActivateEffect;;;;
320419;Wait next turn;AfterYou;;;;
317777;"""Restart turn"" and ""Undo last step"" buttons";Altered;;;;
336664;"Akesha ""the astute""";Altered;;;;
336661;Anchor and boost your allies over the long haul and reap the rewards of your good deeds.;Altered;;;;
320906;Board height;Altered;;;;
336666;Choose your faction;Altered;;;;
336667;Choose your starting mana cards;Altered;;;;
317789;Companion side;Altered;;;;
317784;Confirm Mana;Altered;;;;
317793;Confirm target;Altered;;;;
336655;Construct powerful machines and let their strength carry you to victory!;Altered;;;;
317767;Game Flow;Altered;;;;
317788;Hero side;Altered;;;;
340257;If you take this action, you won't be able to undo past this step because you will either roll a dice, draw card(s) from the deck or the discard, or someone else is going to make a decision;Altered;;;;
336656;"Kojo ""the rising star""";Altered;;;;
327517;Landmark;Altered;;;;
317765;Layout;Altered;;;;
336665;Let your opponent take the initiative to better thwart their plans, slowly but surely.;Altered;;;;
336658;"Nevenka ""the unpredictable""";Altered;;;;
317776;"Only ""Restart turn"" button";Altered;;;;
317778;"Only ""Undo last step"" button";Altered;;;;
317768;Other;Altered;;;;
317766;Player Board/Panel;Altered;;;;
320911;Reserve;Altered;;;;
317782;Restart turn;Altered;;;;
317775;Restart turn buttons;Altered;;;;
336668;Selected cards will join your mana pool;Altered;;;;
317795;Settings;Altered;;;;
336654;"Sierra ""the renowned engineer""";Altered;;;;
336662;"Sigismar ""the commander""";Altered;;;;
317792;Spell;Altered;;;;
336657;Summon your firecat Companion to seize the advantage without delay, for only the brave make history!;Altered;;;;
323691;Support ability;Altered;;;;
336663;Take the reins of the Ordis Legion and secure victory through sheer numbers!;Altered;;;;
336660;"Teija ""the druidess""";Altered;;;;
317514;This game action is impossible right now;Altered;;;;
317794;Toggle help/safe mode.;Altered;;;;
317781;Undo last step;Altered;;;;
336659;What's better than invoking fate to spice up a game? Are you ready to embrace the whims of destiny?;Altered;;;;
317787;Where do you want to play that card?;Altered;;;;
341679;opposite of played card;Altered;;;;
331976;source;Altered;;;;
317783;Cancel;"Altered;Game";;;;
317785;Confirm;"Altered;Game";;;;
331159;Ada Lovelace;AX_Common_AdaLovelace;;;;
336599;Imagination is the discovering faculty. It is that which penetrates the unseen worlds around us.;AX_Common_AdaLovelace;;;;
336598;{R} You may put a card from your hand in Reserve. If it's a Permanent, draw a card.;AX_Common_AdaLovelace;;;;
318226;Amelia Earhart;AX_Common_AmeliaEarhart;;;;
336601;The most effective way to do it, is to do it.;AX_Common_AmeliaEarhart;;;;
318228;Armored Jammer;AX_Common_ArmoredJammer;;;;
336602;In a jam? Sorry, mate. Maybe a side-effect of our scrambling...;AX_Common_ArmoredJammer;;;;
331161;{J} $[SABOTAGE].;AX_Common_ArmoredJammer;;;;
331162;Athena;AX_Common_Athena;;;;
336604;I’ve lifted the mist from off your eyes that’s blurred them up to now.;AX_Common_Athena;;;;
336603;{R} If you control two or more Landmarks, I lose [FLEETING_CHAR].;AX_Common_Athena;;;;
336605;At Noon — $[RESUPPLY].;AX_Common_AxiomReprocessor;;;;
318230;Axiom Reprocessor;"AX_Common_AxiomReprocessor;AX_Rare_AxiomReprocessor";;;;
336606;Nothing is created, nothing is lost, everything is transformed.;"AX_Common_AxiomReprocessor;AX_Rare_AxiomReprocessor";;;;
318232;Axiom Salvager;AX_Common_AxiomSalvager;;;;
336608;The Axiom's limited ressources pushed them to reuse whatever could be.;AX_Common_AxiomSalvager;;;;
336607;{R} $[RESUPPLY].;AX_Common_AxiomSalvager;;;;
327581;Axiom Scrambler;"AX_Common_AxiomScrambler;AX_Rare_AxiomScrambler";;;;
336609;Pushing back the Tumult sometimes prevents other Alterers from materializing their Eidolons. This is regrettable.;"AX_Common_AxiomScrambler;AX_Rare_AxiomScrambler";;;;
336610;$[FLEETING].  Sacrifice a Character. If you do, discard target Character or Permanent.;AX_Common_Boom;;;;
331165;Boom!;AX_Common_Boom;;;;
336611;Catastrophic failure ? I prefer the term 'learning opportunity'.;AX_Common_Boom;;;;
336616;01010001 01110101 01100101 01100101 01101110 00100000 01101001 01101110 00100000 01000010 00101101 01001000 01101001 01110110 01100101;AX_Common_Brassbug;;;;
318237;Brassbug;AX_Common_Brassbug;;;;
336617;Token - Robot;AX_Common_Brassbug;;;;
336612;{J} Create a [BRASSBUG] Robot token in target Expedition.  At Noon — Create a [BRASSBUG] Robot token in target Expedition.;AX_Common_BrassbugHive;;;;
318235;Brassbug Hive;"AX_Common_BrassbugHive;AX_Rare_BrassbugHive";;;;
336613;What could possibly go wrong with an absorbing, self-replicating cute little robot?;"AX_Common_BrassbugHive;AX_Rare_BrassbugHive";;;;
327583;Brassbug Hub;AX_Common_BrassbugHub;;;;
336615;Few people visit the depths of the Foundry, and even fewer can explain how the Brassbugs came to be.;AX_Common_BrassbugHub;;;;
327585;Kelon counter;AX_Common_BrassbugHub;;;;
336614;{J} I gain three Kelon counters.  At Noon — You may pay {1} and spend one of my Kelon counters to create a [BRASSBUG] Robot token in target Expedition.;AX_Common_BrassbugHub;;;;
336619;Because of its artificial nature, it served as a model for the Faction's first Automata prototypes.;AX_Common_Coppelia;;;;
336620;Character - Robot;AX_Common_Coppelia;;;;
331167;Coppélia;AX_Common_Coppelia;;;;
336618;When I go to Reserve from your hand — You may play me for free and I gain $[ASLEEP].;AX_Common_Coppelia;;;;
327587;Foundry Armorer;AX_Common_FoundryArmorer;;;;
336622;No Brassbug would survive in the Tumult without their armor.;AX_Common_FoundryArmorer;;;;
336621;{R} Create a [BRASSBUG] Robot token in target Expedition.;AX_Common_FoundryArmorer;;;;
336624;Behind every Axiom masterwork, there are Foundry Engineers.;AX_Common_FoundryEngineer;;;;
331169;Foundry Engineer;AX_Common_FoundryEngineer;;;;
336623;{R} The next Permanent you play this Afternoon costs {1} less.;AX_Common_FoundryEngineer;;;;
331173;Frankenstein;AX_Common_Frankenstein;;;;
336628;We sometimes look for companionship in the strangest life forms.;AX_Common_Frankenstein;;;;
336627;{R} You may activate the {j} triggers of target Permanent you control.;AX_Common_Frankenstein;;;;
318239;Ganesha;AX_Common_Ganesha;;;;
336629;Knowledge and wisdom must walk side by side.;AX_Common_Ganesha;;;;
339752;{J} For each Permanent you control, you may activate its {j} triggers.;AX_Common_Ganesha;;;;
336631;Get over here!;AX_Common_Hooked;;;;
331176;Hooked;AX_Common_Hooked;;;;
336630;Target Character switches Expeditions. (It leaves its Expedition and joins its controller's other Expedition.);AX_Common_Hooked;;;;
318241;Jian, Assembly Overseer;"AX_Common_JianAssemblyOverseer;AX_Rare_JianAssemblyOverseer";;;;
336632;This material does not seem to be affected by gravity. By harnessing the properties of this Aerolithe, we could create flying ships and cities, and fly close to the clouds...;"AX_Common_JianAssemblyOverseer;AX_Rare_JianAssemblyOverseer";;;;
339754;$[FLEETING].  Choose one:  • Send to Reserve target Character with Hand Cost {4} or less.  • Discard target Permanent with Hand Cost {4} or less.;AX_Common_KelonBurst;;;;
339753;Kelon Burst;AX_Common_KelonBurst;;;;
331178;Kelon Cylinder;AX_Common_KelonCylinder;;;;
331180;Kelon counters;AX_Common_KelonCylinder;;;;
336634;This little battery is Axiom's trump card. The Kelon produces phenomenal energy, for which engineers find new applications every day.;AX_Common_KelonCylinder;;;;
