trk_id;str_to_translate;fr_FR;de_DE;it_IT;es_ES;LOCK
343101;"""Achoo!""";;;;;0
343128;"""All right, lad, show me what you’ve learned.""";;;;;0
343081;"""Chin up and stand tall. You’re shieldbearers of the Aegis now!""";;;;;0
343027;"""Don't just wait for magic to happen. Go out and make your own!""";;;;;0
343093;"""Dosukoi! Let’s put it in the ground!""";;;;;0
343126;"""I only feel alive when I hear the wind whistling in my ears.""";;;;;0
343060;"""I’ve a feeling we’re not in Kansas anymore.""";;;;;0
343062;"""One day, I will show you the wonders of Avalon and the true might of the Fae realms.""";;;;;0
343057;"""One good turn deserves another.""";;;;;0
343121;"""Pom! Pompoko, pom!""";;;;;0
343131;"""Push through the pain. Giving up would hurt far more.""";;;;;0
317777;"""Restart turn"" and ""Undo last step"" buttons";;;;;0
343071;"""Show me those pearly whites.""";;;;;0
343124;"""Stay on the path, they say. I make my own path!""";;;;;0
343151;"""Suspira's mines will soon run dry. Your precious Kelon will run dry.""";;;;;0
343070;"""The form has been filled out incorrectly. Please make a new appointment tomorrow.""";;;;;0
343138;"""The most effective way to do it, is to do it.""";;;;;0
343146;"""This material does not seem to be affected by gravity. By harnessing the properties of this Aerolith, we could create flying ships and cities, and fly close to the clouds...""";;;;;0
343096;"""Want to play a game of headman-hunter-fox with me? I promise not to cheat!""";;;;;0
343099;"""We are the sentinels of the Skein, always keeping a finger on the pulse of nature.""";;;;;0
341686;#$[TOUGH_1].#;;;;;0
341687;#{1}#, {T} : Draw a card.;;;;;0
339760;#{D} : Activate the {j} triggers of target Permanent you control.# (Discard me from Reserve to do this.);;;;;0
340302;#{D} : Draw a card.# (Discard me from Reserve to do this.);;;;;0
327547;#{D} : The next Character you play this turn costs {1} less.# (Discard me from your Reserve to activate this effect);;;;;0
340308;#{D} : The next Character you play this turn gains 1 boost.# (Discard me from Reserve to do this.);;;;;0
340312;#{D} : The next Permanent you play this turn costs {1} less.# (Discard me from Reserve to do this.);;;;;0
327599;#{D} : The next Permanent you play this turn costs {1} less.# (Discard me from your Reserve to activate this effect);;;;;0
341260;#{H} If you control a token, $[RESUPPLY].#;;;;;0
341674;#{J} [RESUPPLY].#  If you would #$[RESUPPLY], instead, reveal the top two cards of your deck. Put one in Reserve, and discard the other.#;;;;;0
327564;#{J}# $[RESUPPLY].;;;;;0
343108;#{J}# Target Character gains [ANCHORED]. (During Rest, it doesn't go to Reserve and it loses Anchored.);;;;;0
339731;#{J}# You may send target Character to Reserve.;;;;;0
342636;$[DEFENDER].;;;;;0
336477;$[FLEETING].  $[SABOTAGE], then $[RESUPPLY].;;;;;0
336482;$[FLEETING].  Characters you control gain 1 boost$[BB]. (Cards in Reserve are not controlled.);;;;;0
339754;$[FLEETING].  Choose one:  • Send to Reserve target Character with Hand Cost {4} or less.  • Discard target Permanent with Hand Cost {4} or less.;;;;;0
339737;$[FLEETING].  Choose one:  • Send to Reserve target Character with Hand Cost {4} or more.  • Discard target Permanent with Hand Cost {4} or more.;;;;;0
342632;$[FLEETING].  Discard target Character or Permanent.;;;;;0
336573;$[FLEETING].  Return target Character or Permanent with Hand Cost {4} or less to its owner's hand.;;;;;0
336471;$[FLEETING].  Send to Reserve up to three target Characters with a total Hand Cost {5} or less.;;;;;0
343029;$[FLEETING].  You may discard a card from your Reserve to reduce my cost by #{1}#.  Return target Character or Permanent to the top of its owner's deck.;;;;;0
336549;$[FLEETING].  You may discard a card from your Reserve to reduce my cost by {2}.  Return target Character or Permanent to the top of its owner's deck.;;;;;0
327569;$[GIGANTIC].;;;;;0
317543;${actplayer} can't take the mandatory action and must restart his turn or exchange/cook;;;;;0
323673;${actplayer} may discard ${n} card(s) from ${source} to ${destination};;;;;0
317533;${actplayer} may invoke ${tokenType};;;;;0
331149;${actplayer} may play ${card_name};;;;;0
331151;${actplayer} may play ${card_name} for free;;;;;0
317527;${actplayer} must choose an action or pass;;;;;0
317541;${actplayer} must choose exactly one effect;;;;;0
317539;${actplayer} must choose which effect to resolve;;;;;0
317535;${actplayer} must confirm or restart their turn;;;;;0
317537;${actplayer} must confirm the switch of player;;;;;0
317529;${actplayer} must discard ${n} card(s) from ${source} to ${destination};;;;;0
327509;${actplayer} must discard ${n} reserve card(s) and ${nLandmarks} landmark card(s);;;;;0
343887;${biome_0} and ${biome_1};;;;;0
343888;${biome_0}, ${biome_1} and ${biome_2};;;;;0
336464;${card_name} gains ${increase} ${counterName};;;;;0
317576;${card_name} gains ${n} ${power};;;;;0
317574;${card_name} gains ${n} ${power} (${card_name2}'s effect);;;;;0
317575;${card_name} gains ${power};;;;;0
317573;${card_name} gains ${power} (${card_name2}'s effect);;;;;0
317578;${card_name} looses ${n} ${power};;;;;0
343033;${n} dice are added to the roll (Ouroboros Lyra Bastion's effect);;;;;0
343818;${phase_icon} Day n°${day}: afternoon ${phase_icon2};;;;;0
343819;${phase_icon} Day n°${day}: dusk ${phase_icon2};;;;;0
343816;${phase_icon} Day n°${day}: morning ${phase_icon2};;;;;0
343820;${phase_icon} Day n°${day}: night ${phase_icon2};;;;;0
