trk_id,str_to_translate,context,fr_FR,es_ES,it_IT,de_DE,LOCK
416957," multiple cards",Discard,,,,,0
343101,"""Achoo!""",YZ_Rare_SneezerShroom;MU_Common_SneezerShroom;MU_Rare_SneezerShroom,"""Atchoum !""",«¡Achís!».,"""Ecciù!""","""Hatschi!""",1
343128,"""All right, lad, show me what you’ve learned.""",OD_Rare_HavenTrainee;BR_Common_HavenTrainee;BR_Rare_HavenTrainee,"""Ok, gamin, montre-moi ce que t'as appris.""","«Muy bien, muchacho, enséñame lo que has aprendido».","""D'accordo, giovane, mostrami cosa hai imparato.""","""Also gut, mein Junge: Zeig mir, was du gelernt hast.""",1
416817,"""All the world’s a stage.""",MU_Rare_LyraThespian;LY_Common_LyraThespian;LY_Rare_LyraThespian,"""Le monde entier est un théâtre.""","«Todo el mundo es un escenario».","""Tutto il mondo è un palcoscenico.""","""Die ganze Welt ist Bühne.""",1
416796,"""And now, pray, mark all these things well in a wise heart.""",MU_Rare_Chiron;BR_Common_Chiron;BR_Rare_Chiron,,,,,0
416633,"""Catastrophic failure? I prefer the term 'learning opportunity'.""",YZ_Rare_Boom;AX_Common_Boom;AX_Rare_Boom,"""Un échec catastrophique ? Je préfère le terme 'opportunité d'apprentissage'.""","«¿Fallo catastrófico? Yo prefiero llamarlo oportunidad de aprendizaje».","""Fallimento catastrofico? Preferisco chiamarlo opportunità di apprendimento.""","""Katastrophales Versagen? Ich bevorzuge den Begriff 'Gelegenheit zum Lernen'.""",1
343081,"""Chin up and stand tall. You’re shieldbearers of the Aegis now!""",YZ_Rare_OrdisTrooper;OD_Common_OrdisTrooper;OD_Rare_OrdisTrooper,"""Relevez la tête, tenez vous fièrement. Vous êtes maintenant boucliers de l'Aegis !""","«Animad esas caras, las cabezas bien altas. ¡Ahora sois escuderos de la Égida!».","""Su col morale e testa alta! Ora siete gli scudieri dell'Aegis!""","""Kopf hoch und Haltung annehmen. Ihr seid jetzt Schildträger der Aegis!""",1
343027,"""Don't just wait for magic to happen. Go out and make your own!""",YZ_Common_KadigiranMageDancer;YZ_Rare_KadigiranMageDancer;LY_Rare_KadigiranMageDancer,"""N'attendez pas que la magie vienne à vous, créez la vôtre !""","«No esperes a que la magia se aparezca en tu vida. ¡Hazla tú!».","""Non stare ad aspettare che la magia accada. Vai là fuori e creala!""","""Warte nicht einfach darauf, dass etwas Magisches passiert. Erschaffe deinen eigenen Zauber!""",1
343093,"""Dosukoi! Let’s put it in the ground!""",MU_Common_ConiferalConeman;MU_Rare_ConiferalConeman;LY_Rare_ConiferalConeman,"Ça sent le sapin !","«¡Dosukoi! ¡Al suelo con él!»."," ""Dosukoi! Mettiamolo sotto terra!"""," ""Dosukoi! In den Boden damit!""",1
416372,"""Down from the skies, I come to check your rage.""",Cards,,,,,0
416373,"""Gotta go fast!""",Cards,,,,,0
343126,"""I only feel alive when I hear the wind whistling in my ears.""",BR_Common_BravosTracer;BR_Rare_BravosTracer;AX_Rare_BravosTracer,"""Je ne me sens vivante que quand j'entends le vent siffler à mes oreilles.""","«El único momento en que me siento viva es cuando escucho el viento silbar en mis oídos».","""Mi sento viva solo quando odo il vento soffiare nelle mie orecchie.""","""Ich fühle mich nur lebendig, wenn ich den Wind in meinen Ohren pfeifen höre.""",1
416380,"""I think you have forgotten something. We keep a merry inn here in the greenwood, but whoever becomes our guest must pay his reckoning.""",Cards,,,,,0
416626,"""Imagination is the discovering faculty. It is that which penetrates the unseen worlds around us.""",YZ_Rare_AdaLovelace;AX_Common_AdaLovelace;AX_Rare_AdaLovelace,"""L'imagination est la faculté de découvrir. C'est elle qui révèle les mondes invisibles qui nous entourent.""","«La imaginación es la facultad de descubrir. Es aquello que penetra en los mundos invisibles que nos rodean».","""L'immaginazione è la capacità di scoperta. È ciò che penetra nei mondi invisibili che ci circondano.""","""Die Vorstellung ist die enthüllende geistige Kraft. Sie ist in der Lage, die unsichtbaren Welten um uns herum zu durchdringen.""",1
416721,"""In a jam? Sorry, mate. Maybe a side-effect of our scrambling...""",OD_Rare_ArmoredJammer;AX_Common_ArmoredJammer;AX_Rare_ArmoredJammer,"""Désolé, mon pote. C'est pas qu'on cherche la brouille. Ça doit être un effet secondaire de notre blocage...""","«Siento que nuestras inter-ferencias te hayan inter-rumpido, colega».","""Sei nei guai? Mi dispiace, collega. Forse è un effetto collaterale dell'aver disturbato le frequenze...""","""Eine Störung? Tut mir leid, Kumpel. Vielleicht ein Nebeneffekt unserer Aktivitäten …""",1
416635,"""It seems Thoth has never seen me duel.""",YZ_Rare_BravosBladedancer;BR_Common_BravosBladedancer;BR_Rare_BravosBladedancer,"""Il semblerait que Thot ne m'ait jamais vue combattre.""","«Por lo visto, Thoth nunca me ha visto batirme en duelo».","""Sembra che Thot non mi abbia mai visto duellare.""","""Anscheinend hat Thoth mich noch nie im Duell erlebt.""",1
343060,"""I’ve a feeling we’re not in Kansas anymore.""",YZ_Common_DorothyGale;YZ_Rare_DorothyGale;BR_Rare_DorothyGale,"""J'ai l'impression que nous ne sommes plus au Kansas.""","«Me parece que ya no estamos en Kansas».","""Ho l'impressione che non siamo più nel Kansas.""","""Irgendetwas sagt mir, dass wir nicht mehr in Kansas sind.""",1
416723,"""I’ve lifted the mist from off your eyes that’s blurred them up to now.""",OD_Rare_Athena;AX_Common_Athena;AX_Rare_Athena,"""J'ai dissipé le nuage qui couvrait tes yeux.""","«Aparté la niebla que cubría tus ojos».","""Ti ho anche tolto dagli occhi la nebbia che prima avevi.""","""Auch das Dunkel entnahm ich den Augen dir, welches sie deckte.""",1
416582,"""I’ve seen it myself! 'Baku! Baku!', it says, eating up ghosts as though they were candies.""",YZ_Common_Baku;YZ_Rare_Baku;AX_Rare_Baku,,,,,0
416718,"""Many things lie between us—shadowy mountains and sounding sea.""",OD_Rare_Achilles;BR_Common_Achilles;BR_Rare_Achilles,"""Une mer tumultueuse et des montagnes ombragées d'arbres nous séparent.""","«La parte más pesada de la impetuosa guerra la sostienen mis manos».","""Sono fra l’isola e loro molte montagne ombrose, e il mare dall’eco sonora.""","Indes viel Raumes uns sondert, waldbeschattete Berg', und des Meers weitrauschende Wogen.",1
416376,"""My fourth Unique card? No idea what you're talking about.""",Cards,,,,,0
416699,"""Never give up. No one knows what’s going to happen next.""",OD_Common_Ozma;OD_Rare_Ozma;BR_Rare_Ozma,"""N'abandonne jamais. Personne ne sait de quoi demain sera fait.""","«No te rindas nunca. Nadie sabe lo que te deparará el mañana».","""Non arrenderti mai. Nessuno sa cosa sta per succedere.""","""Gib nicht auf. Niemand weiß, was als Nächstes geschehen wird.""",1
416375,"""Never trust the Tanuki twice."" - Lyra proverb",Cards,,,,,0
343062,"""One day, I will show you the wonders of Avalon and the true might of the Fae realms.""",YZ_Common_LadyoftheLake;YZ_Rare_LadyoftheLake;BR_Rare_LadyoftheLake,"""Un jour, je te montrerai les merveilles d'Avalon, la véritable majesté des royaumes Fae.""","«Un día te mostraré las maravillas de Avalon y el verdadero poder de los reinos feéricos».","""Un giorno ti mostrerò le meraviglie di Avalon e il vero potere dei reami delle fate.""","""Eines Tages werde ich dir die Wunder von Avalon und die wahre Macht der Fae-Reiche zeigen.""",1
343057,"""One good turn deserves another.""",YZ_Common_Alice;YZ_Rare_Alice;LY_Rare_Alice,"""Je parie que vous n’avez jamais parlé au Temps.""
""Cela se peut bien, répliqua prudemment Alice, mais je l’ai souvent mal employé.""","«Tu turno de ayudar».","""Se tu conoscessi il tempo come lo conosco io, non diresti che lo perdiamo.""","""Eine gute Tat verdient eine weitere.""",1
343121,"""Pom! Pompoko, pom!""",LY_Common_Tanuki;LY_Rare_Tanuki;BR_Rare_Tanuki,"""Pon ! Ponpoko, pon !""","«¡Pom! ¡Pompoko, pom!».","""Pom! Pompoko, pom!""","""Pon! Ponpoko, pon!""",1
343131,"""Push through the pain. Giving up would hurt far more.""",LY_Rare_Kappa;BR_Common_Kappa;BR_Rare_Kappa,"""Affronte ta douleur. Abandonner fait bien plus mal.""","«Aguanta el dolor. Rendirse duele más».","""Sopporta il dolore. Arrendersi farebbe ancora più male.""","""Überwinde deinen Schmerz. Aufgeben würde viel stärker schmerzen.""",1
317777,"""Restart turn"" and ""Undo last step"" buttons",Altered,,,,,0
416746,"""Sand gives you a taste of what life is all about. Come morning, the castles you have built will be gone with the tide.""",OD_Rare_TheSandman;LY_Common_TheSandman;LY_Rare_TheSandman,"""Le sable est un avant-goût de ce qu'est la vie. Au matin, les châteaux érigés disparaissent avec la marée.""","«La arena es una metáfora perfecta de la vida. Al llegar la mañana, los castillos que construiste el día anterior habrán sido arrastrados por la marea».","""La sabbia ti dà un assaggio di come va la vita. Domani mattina, i castelli che hai costruito se ne saranno andati con la marea.""","""Sand gibt dir einen Vorgeschmack auf das, was das Leben ausmacht. Morgen früh werden die Schlösser, die du gebaut hast, mit der Flut verschwunden sein.""",1
343071,"""Show me those pearly whites.""",YZ_Common_ToothFairy;YZ_Rare_ToothFairy;BR_Rare_ToothFairy,"""Allez, petite, souris !""","La competencia del Ratoncito Pérez.","""Mostrami quei bei dentini.""","""Zeig mir deine Beißerchen.""",1
343124,"""Stay on the path, they say. I make my own path!""",LY_Rare_BravosPathfinder;BR_Common_BravosPathfinder;BR_Rare_BravosPathfinder,"""Reste sur le chemin, qu'ils disaient. Je trace mon propre chemin !""","«Dicen que es mejor no salirse del camino. ¡Yo trazo mi propio camino!».","""Rimani sul sentiero, dicono. Ma il sentiero lo creo io!""","""'Bleib auf dem Weg', haben sie gesagt. Ich gehe meinen eigenen Weg!""",1
343151,"""Suspira's mines will soon run dry. Your precious Kelon will run dry.""",OD_Rare_KelonicGenerator;AX_Common_KelonicGenerator;AX_Rare_KelonicGenerator,"""Les mines de Suspira seront bientôt exsangues. Votre précieux Kelon va se tarir.""","«Las minas de Suspira pronto se agotarán. Vuestro precioso kelón dejará de manar».","""Le miniere di Suspira si esauriranno presto. Il vostro prezioso Kelon si esaurirà.""","""Die Minen von Suspira werden bald erschöpft sein. Dann wird euer kostbares Kelon versiegen.""",1
343070,"""The form has been filled out incorrectly. Please make a new appointment tomorrow.""",YZ_Rare_MonolithArchivist;OD_Common_MonolithArchivist;OD_Rare_MonolithArchivist,"""Le formulaire a été mal rempli. Veuillez prendre un nouveau rendez-vous demain.""","«Este formulario no está cumplimentado correctamente. Por favor, pide cita para mañana».","""Il modulo è stato compilato in modo errato. Si prega di fissare un nuovo appuntamento domani.""","""Dieses Formular wurde nicht korrekt ausgefüllt. Bitte vereinbaren Sie für morgen einen neuen Termin.""",1
343138,"""The most effective way to do it, is to do it.""",OD_Rare_AmeliaEarhart;AX_Common_AmeliaEarhart;AX_Rare_AmeliaEarhart,"""La façon la plus efficace de le faire, c'est de le faire.""","«La forma más eficaz de hacer algo es hacerlo».","""Il modo più efficace di fare qualcosa è.… farlo.""","""Am effektivsten geht man etwas an, indem man es einfach angeht.""",1
416690,"""The pen is mightier than the sword.""",YZ_Rare_Thoth;OD_Common_Thoth;OD_Rare_Thoth,"""La plume est plus forte que l'épée.""","«La pluma es más poderosa que la espada».","""La penna è più potente della spada.""","""Die Feder ist mächtiger als das Schwert.""",1
416599,"""There are gates one should not open, there are seals one should not breach. And yet I will.""",YZ_Common_KuwattheDissenter;YZ_Rare_KuwattheDissenter;OD_Rare_KuwattheDissenter,"""Il y a des portes que l'on ne doit pas ouvrir, des sceaux que l'on ne doit pas briser. Et pourtant, je le ferai.""","«Hay puertas que no se deben abrir, sellos que no se deben romper. Y sin embargo, yo lo haré».","""Ci sono portali che non dovrebbero essere aperti e sigilli che non dovrebbero essere infranti. Eppure lo farò.""","""Es gibt Tore, die man nicht öffnen, und Siegel, die man nicht brechen sollte. Und dennoch werde ich beides tun.""",1
343146,"""This material does not seem to be affected by gravity. By harnessing the properties of this Aerolith, we could create flying ships and cities, and fly close to the clouds...""",OD_Rare_JianAssemblyOverseer;AX_Common_JianAssemblyOverseer;AX_Rare_JianAssemblyOverseer,"""L'Aérolithe ne semble pas affectée par la gravité. En domestiquant ses propriétés, nous pourrions créer des vaisseaux et des villes volantes, tutoyer les nuages...""","«Este material no parece verse afectado por la gravedad. Si explotamos las propiedades de este aerolito, podríamos crear barcos y ciudades flotantes y volar junto a las nubes...».","""Sembra che la forza di gravità non abbia effetto su questo materiale. Sfruttando le proprietà di questo aerolite, potremmo creare navi e città volanti e volteggiare verso le nuvole...""","""Dieses Material scheint nicht von der Schwerkraft beeinflusst zu werden. Wenn wir uns die Eigenschaften des Aerolit zunutze machen, könnten wir schwebende Schiffe und Städte bauen und bis in die Wolken fliegen …""",1
416778,"""Wake up, you lazy furball!""",MU_Common_Mowgli;MU_Rare_Mowgli;AX_Rare_Mowgli,,,,,0
343096,"""Want to play a game of headman-hunter-fox with me? I promise not to cheat!""",MU_Common_Kitsune;MU_Rare_Kitsune;BR_Rare_Kitsune,"""Tu sais jouer au renard qui passe ?""","«¿Queréis jugar al zorro? ¡Prometo que no haré trampas!».","""Vuoi giocare a capovillaggio, cacciatore e volpe con me? Ti prometto che non baro!""","""Willst du mit mir eine Partie Dorfvorsteher-Jäger-Fuchs spielen? Ich verspreche, ich werde nicht schummeln!""",1
343099,"""We are the sentinels of the Skein, always keeping a finger on the pulse of nature.""",MU_Common_MunaDruid;MU_Rare_MunaDruid;AX_Rare_MunaDruid,"""Nous sommes les sentinelles du Skein, toujours à l'écoute du pouls de la nature.""","«Somos los centinelas del Skein, sentimos constantemente el pulso de la naturaleza».","""Siamo le sentinelle della Skein, teniamo sempre un dito sul polso della natura.""","""Wir sind die Wächter des Skein, immer mit einem Finger am Puls der Natur.""",1
416670,"""We don’t inherit the earth from our ancestors, we borrow it from our children.""",YZ_Rare_MunaCaregiver;MU_Common_MunaCaregiver;MU_Rare_MunaCaregiver,"""Nous n'héritons pas de la terre de nos ancêtres, nous l'empruntons à nos enfants.""","«La Tierra no es herencia de nuestros padres, sino un préstamo de nuestros hijos».","""Non ereditiamo la terra dai nostri antenati, la prendiamo in prestito dai nostri figli.""","""Wir erben die Erde nicht von unseren Vorfahren, sondern leihen sie von unseren Kindern.""",1
416890,"""We will be the arrow that pierces the veil of the unknown, the torch that banishes the mists of ignorance!""",BR_Common_BravosVanguard;BR_Rare_BravosVanguard;AX_Rare_BravosVanguard,"""Nous serons la flèche qui percera le voile de l’inconnu, le flambeau qui bannira les brumes de l’ignorance !""","«¡Seremos la flecha que atraviesa el velo de lo desconocido, la antorcha que destierra las nieblas de la ignorancia!».","""Saremo la freccia che squarcia il velo dell'ignoto, la torcia che allontana la nebbia dell'ignoranza!""","""Wir werden der Pfeil sein, der den Schleier des Unbekannten durchstößt, und die Fackel, die die Nebel der Unwissenheit vertreibt!""",1
416780,"""What do you need?""",MU_Common_MunaMerchant;MU_Rare_MunaMerchant;AX_Rare_MunaMerchant,"""Qu'est-ce qu'il vous faut ?""","«¿Qué necesitas?».","""Di cosa hai bisogno?""","""Also, was brauchst du?""",1
345592,"""You can draw water out of a water-well, so I should think you could draw treacle out of a treacle-well — eh, stupid ?""",LY_Common_TheHatter;LY_Rare_TheHatter;BR_Rare_TheHatter,"""Quand il y a de l’eau dans un puits, vous savez bien comment on en tire, n’est-ce pas ? Eh bien ! d’un puits de mélasse on s'en tire de même, comprenez-vous, petite sotte ?""","«Uno puede sacar agua de un pozo de agua, ¿por qué no va a poder sacar melaza de un pozo de melaza? ¡No seas estúpida!».","""Come si estrae l'acqua dal pozzo, si potrà estrarre la melassa da un pozzo di melassa, credo... eh, stupida?""","""Man kann Wasser aus einem Wasserbrunnen pumpen. Also kann man doch wohl Sirup aus einem Sirupbrunnen pumpen – nicht, Dummchen?""",1
