trk_id;str_to_translate;context;fr_FR;es_ES;it_IT;de_DE;LOCK
416957; multiple cards;Discard;;;;;0
343101;"""Achoo!""";"YZ_Rare_SneezerShroom;MU_Common_SneezerShroom;MU_Rare_SneezerShroom";;;;;0
343128;"""All right, lad, show me what you’ve learned.""";"OD_Rare_HavenTrainee;BR_Common_HavenTrainee;BR_Rare_HavenTrainee";;;;;0
416817;"""All the world’s a stage.""";"MU_Rare_LyraThespian;LY_Common_LyraThespian;LY_Rare_LyraThespian";;;;;0
416796;"""And now, pray, mark all these things well in a wise heart.""";"MU_Rare_Chiron;BR_Common_Chiron;BR_Rare_Chiron";;;;;0
416633;"""Catastrophic failure? I prefer the term 'learning opportunity'.""";"YZ_Rare_Boom;AX_Common_Boom;AX_Rare_Boom";;;;;0
343081;"""Chin up and stand tall. You’re shieldbearers of the Aegis now!""";"YZ_Rare_OrdisTrooper;OD_Common_OrdisTrooper;OD_Rare_OrdisTrooper";;;;;0
343027;"""Don't just wait for magic to happen. Go out and make your own!""";"YZ_Common_KadigiranMageDancer;YZ_Rare_KadigiranMageDancer;LY_Rare_KadigiranMageDancer";;;;;0
343093;"""Dosukoi! Let’s put it in the ground!""";"MU_Common_ConiferalConeman;MU_Rare_ConiferalConeman;LY_Rare_ConiferalConeman";;;;;0
416372;"""Down from the skies, I come to check your rage.""";Cards;;;;;0
416373;"""Gotta go fast!""";Cards;;;;;0
343126;"""I only feel alive when I hear the wind whistling in my ears.""";"BR_Common_BravosTracer;BR_Rare_BravosTracer;AX_Rare_BravosTracer";;;;;0
416380;"""I think you have forgotten something. We keep a merry inn here in the greenwood, but whoever becomes our guest must pay his reckoning.""";Cards;;;;;0
416626;"""Imagination is the discovering faculty. It is that which penetrates the unseen worlds around us.""";"YZ_Rare_AdaLovelace;AX_Common_AdaLovelace;AX_Rare_AdaLovelace";;;;;0
416721;"""In a jam? Sorry, mate. Maybe a side-effect of our scrambling...""";"OD_Rare_ArmoredJammer;AX_Common_ArmoredJammer;AX_Rare_ArmoredJammer";;;;;0
416635;"""It seems Thoth has never seen me duel.""";"YZ_Rare_BravosBladedancer;BR_Common_BravosBladedancer;BR_Rare_BravosBladedancer";;;;;0
343060;"""I’ve a feeling we’re not in Kansas anymore.""";"YZ_Common_DorothyGale;YZ_Rare_DorothyGale;BR_Rare_DorothyGale";;;;;0
416723;"""I’ve lifted the mist from off your eyes that’s blurred them up to now.""";"OD_Rare_Athena;AX_Common_Athena;AX_Rare_Athena";;;;;0
416582;"""I’ve seen it myself! 'Baku! Baku!', it says, eating up ghosts as though they were candies.""";"YZ_Common_Baku;YZ_Rare_Baku;AX_Rare_Baku";;;;;0
416718;"""Many things lie between us—shadowy mountains and sounding sea.""";"OD_Rare_Achilles;BR_Common_Achilles;BR_Rare_Achilles";;;;;0
416376;"""My fourth Unique card? No idea what you're talking about.""";Cards;;;;;0
416699;"""Never give up. No one knows what’s going to happen next.""";"OD_Common_Ozma;OD_Rare_Ozma;BR_Rare_Ozma";;;;;0
416375;"""Never trust the Tanuki twice."" - Lyra proverb";Cards;;;;;0
343062;"""One day, I will show you the wonders of Avalon and the true might of the Fae realms.""";"YZ_Common_LadyoftheLake;YZ_Rare_LadyoftheLake;BR_Rare_LadyoftheLake";;;;;0
343057;"""One good turn deserves another.""";"YZ_Common_Alice;YZ_Rare_Alice;LY_Rare_Alice";;;;;0
343121;"""Pom! Pompoko, pom!""";"LY_Common_Tanuki;LY_Rare_Tanuki;BR_Rare_Tanuki";;;;;0
343131;"""Push through the pain. Giving up would hurt far more.""";"LY_Rare_Kappa;BR_Common_Kappa;BR_Rare_Kappa";;;;;0
317777;"""Restart turn"" and ""Undo last step"" buttons";Altered;;;;;0
416746;"""Sand gives you a taste of what life is all about. Come morning, the castles you have built will be gone with the tide.""";"OD_Rare_TheSandman;LY_Common_TheSandman;LY_Rare_TheSandman";;;;;0
