trk_id;str_to_translate;context;fr_FR;es_ES;it_IT;de_DE
343101;"""Achoo!""";"MU_Common_SneezerShroom;MU_Rare_SneezerShroom";;;;
343128;"""All right, lad, show me what you’ve learned.""";BR_Common_HavenTrainee;;;;
343081;"""Chin up and stand tall. You’re shieldbearers of the Aegis now!""";"OD_Common_OrdisTrooper;OD_Rare_OrdisTrooper";;;;
343027;"""Don't just wait for magic to happen. Go out and make your own!""";LY_Rare_KadigiranMageDancer;;;;
343093;"""Dosukoi! Let’s put it in the ground!""";"MU_Common_ConiferalConeman;MU_Rare_ConiferalConeman";;;;
343126;"""I only feel alive when I hear the wind whistling in my ears.""";"BR_Common_BravosTracer;BR_Rare_BravosTracer";;;;
343060;"""I’ve a feeling we’re not in Kansas anymore.""";"YZ_Common_DorothyGale;YZ_Rare_DorothyGale;BR_Rare_DorothyGale";;;;
343062;"""One day, I will show you the wonders of Avalon and the true might of the Fae realms.""";YZ_Common_LadyoftheLake;;;;
343057;"""One good turn deserves another.""";"YZ_Common_Alice;YZ_Rare_Alice";;;;
343121;"""Pom! Pompoko, pom!""";"LY_Common_Tanuki;LY_Rare_Tanuki";;;;
343131;"""Push through the pain. Giving up would hurt far more.""";BR_Common_Kappa;;;;
317777;"""Restart turn"" and ""Undo last step"" buttons";Altered;;;;
343071;"""Show me those pearly whites.""";YZ_Rare_ToothFairy;;;;
343124;"""Stay on the path, they say. I make my own path!""";BR_Common_BravosPathfinder;;;;
343151;"""Suspira's mines will soon run dry. Your precious Kelon will run dry.""";AX_Rare_KelonicGenerator;;;;
343070;"""The form has been filled out incorrectly. Please make a new appointment tomorrow.""";YZ_Rare_MonolithArchivist;;;;
343138;"""The most effective way to do it, is to do it.""";AX_Common_AmeliaEarhart;;;;
343146;"""This material does not seem to be affected by gravity. By harnessing the properties of this Aerolith, we could create flying ships and cities, and fly close to the clouds...""";"AX_Common_JianAssemblyOverseer;AX_Rare_JianAssemblyOverseer";;;;
343096;"""Want to play a game of headman-hunter-fox with me? I promise not to cheat!""";MU_Common_Kitsune;;;;
343099;"""We are the sentinels of the Skein, always keeping a finger on the pulse of nature.""";MU_Common_MunaDruid;;;;
345592;"""You can draw water out of a water-well, so I should think you could draw treacle out of a treacle-well — eh, stupid ?""";LY_Common_TheHatter;;;;
346017;#$<TOUGH_1>.#;BR_Rare_Shenlong;;;;
341687;#{1}#, {T} : Draw a card.;AX_Rare_KelonicGenerator;;;;
339760;#{D} : Activate the {j} triggers of target Permanent you control.# (Discard me from Reserve to do this.);AX_Rare_JianAssemblyOverseer;;;;
340302;#{D} : Draw a card.# (Discard me from Reserve to do this.);YZ_Rare_Sakarabru;;;;
327547;#{D} : The next Character you play this turn costs {1} less.# (Discard me from your Reserve to activate this effect);OD_Rare_Ozma;;;;
340308;#{D} : The next Character you play this turn gains 1 boost.# (Discard me from Reserve to do this.);"MU_Rare_MeditationTraining;BR_Rare_HavenWarrior";;;;
345982;#{H} If you control a token, $<RESUPPLY>.#;OD_Rare_MonolithRuneScribe;;;;
346029;#{J} <RESUPPLY>.#  If you would #$<RESUPPLY>, instead, reveal the top two cards of your deck. Put one in Reserve, and discard the other.#;AX_Rare_TheOuroborosLyraBastion;;;;
346004;#{J}# $<RESUPPLY>.;LY_Rare_Esmeralda;;;;
345994;#{J}# Target Character gains <ANCHORED>. (During Rest, it doesn't go to Reserve and it loses Anchored.);MU_Rare_Parvati;;;;
339731;#{J}# You may send target Character to Reserve.;YZ_Rare_DorothyGale;;;;
345969;$<DEFENDER>.;YZ_Rare_MonolithArchivist;;;;
345966;$<FLEETING>.  $<SABOTAGE>, then $<RESUPPLY>.;YZ_Common_SpyCraft;;;;
345971;$<FLEETING>.  Characters you control gain 1 boost$<BB>. (Cards in Reserve are not controlled.);OD_Common_Charge;;;;
346025;$<FLEETING>.  Choose one:  • Send to Reserve target Character with Hand Cost {4} or less.  • Discard target Permanent with Hand Cost {4} or less.;AX_Common_KelonBurst;;;;
345978;$<FLEETING>.  Choose one:  • Send to Reserve target Character with Hand Cost {4} or more.  • Discard target Permanent with Hand Cost {4} or more.;OD_Common_StickyNoteSeals;;;;
345963;$<FLEETING>.  Discard target Character or Permanent.;YZ_Common_BanishingGate;;;;
346013;$<FLEETING>.  Return target Character or Permanent with Hand Cost {4} or less to its owner's hand.;BR_Common_Intimidation;;;;
345965;$<FLEETING>.  Send to Reserve up to three target Characters with a total Hand Cost {5} or less.;YZ_Common_KrakensWrath;;;;
346007;$<FLEETING>.  You may discard a card from your Reserve to reduce my cost by #{1}#.  Return target Character or Permanent to the top of its owner's deck.;LY_Rare_PaintPrison;;;;
346003;$<FLEETING>.  You may discard a card from your Reserve to reduce my cost by {2}.  Return target Character or Permanent to the top of its owner's deck.;LY_Common_PaintPrison;;;;
346009;$<GIGANTIC>.;BR_Common_Atlas;;;;
345596;${actplayer} can't take the mandatory action and must restart his turn;Status bar (game state);;;;
323673;${actplayer} may discard ${n} card(s) from ${source} to ${destination};Status bar (game state);;;;
317533;${actplayer} may invoke ${tokenType};Status bar (game state);;;;
331149;${actplayer} may play ${card_name};Status bar (game state);;;;
331151;${actplayer} may play ${card_name} for free;Status bar (game state);;;;
317527;${actplayer} must choose an action or pass;Status bar (game state);;;;
317541;${actplayer} must choose exactly one effect;Status bar (game state);;;;
317539;${actplayer} must choose which effect to resolve;Status bar (game state);;;;
317535;${actplayer} must confirm or restart their turn;Status bar (game state);;;;
317537;${actplayer} must confirm the switch of player;Status bar (game state);;;;
317529;${actplayer} must discard ${n} card(s) from ${source} to ${destination};Status bar (game state);;;;
327509;${actplayer} must discard ${n} reserve card(s) and ${nLandmarks} landmark card(s);Status bar (game state);;;;
343887;${biome_0} and ${biome_1};Notifications;;;;
343888;${biome_0}, ${biome_1} and ${biome_2};Notifications;;;;
336464;${card_name} gains ${increase} ${counterName};Notifications;;;;
317576;${card_name} gains ${n} ${power};Notifications;;;;
317574;${card_name} gains ${n} ${power} (${card_name2}'s effect);Notifications;;;;
317575;${card_name} gains ${power};Notifications;;;;
317573;${card_name} gains ${power} (${card_name2}'s effect);Notifications;;;;
317578;${card_name} looses ${n} ${power};Notifications;;;;
343033;${n} dice are added to the roll (Ouroboros Lyra Bastion's effect);RollDie;;;;
343818;${phase_icon} Day n°${day}: afternoon ${phase_icon2};Notifications;;;;
343819;${phase_icon} Day n°${day}: dusk ${phase_icon2};Notifications;;;;
343816;${phase_icon} Day n°${day}: morning ${phase_icon2};Notifications;;;;
343820;${phase_icon} Day n°${day}: night ${phase_icon2};Notifications;;;;
343817;${phase_icon} Day n°${day}: noon ${phase_icon2};Notifications;;;;
327601;${player_name} activates ${card_name} {J} effect;ActivateEffect;;;;
323685;${player_name} activates support effect of ${card_name} and discards it;Notifications;;;;
343878;${player_name} advances in ${expedition} expedition by winning in ${biomes_desc};Notifications;;;;
317557;${player_name} becomes First player;Notifications;;;;
317548;${player_name} choses ${n} card(s) as mana;"NewDayTrait;Discard";;;;
317562;${player_name} discards ${card_names};Notifications;;;;
324019;${player_name} discards ${card_names} (${n} card(s));"Notifications;Discard";;;;
317560;${player_name} discards ${card_names} and moves ${card_names2} to reserve;Notifications;;;;
341268;${player_name} discards ${card_names} as they are not targeted;Target;;;;
317563;${player_name} discards ${n} card(s);"Notifications;Discard";;;;
324022;${player_name} discards ${n} card(s) from the ${source};Discard;;;;
320921;${player_name} draws ${card_names} from his deck;Notifications;;;;
320920;${player_name} draws ${card_names} from its deck (${card_name2}'s effect);Player;;;;
341678;${player_name} draws ${card_names} from its deck and must keep 1 (${card_name2}'s effect combined with  The Ouroboros, Lyra Bastion);Resupply;;;;
336650;${player_name} draws ${n} card(s) and put them as mana;DrawMana;;;;
317567;${player_name} draws ${n} card(s) from its deck;Notifications;;;;
320123;${player_name} draws ${n} card(s) from its deck (${card_name2}'s effect);Player;;;;
317591;${player_name} draws ${n} scoring cards from the deck;Notifications;;;;
323686;${player_name} exhauts its deck and shuffle the discard;Notifications;;;;
323680;${player_name} expedition cannot move;Player;;;;
323687;${player_name} invokes ${card_name} in ${displayLocation} (${card_name2}'s effect);Notifications;;;;
317561;${player_name} moves ${card_names2} to reserve;Notifications;;;;
331153;${player_name} moves ${card_name} to opposite expedition (${card_name2}'s effect);Notifications;;;;
323681;${player_name} moves in ${expedition} due to ${card_name}'s effect;Notifications;;;;
343827;${player_name} passes and ends its afternoon;Notifications;;;;
343883;${player_name} pays ${mana_cost};Notifications;;;;
343880;${player_name} pays ${mana_cost} and reduce by ${consume} the counter (${card_name}'s effect);Notifications;;;;
343882;${player_name} pays ${mana_cost} and taps ${card_name} to activate it's effect;Notifications;;;;
320922;${player_name} places ${card_names} from its deck to Reserve (${card_name2}'s effect);Resupply;;;;
317556;${player_name} places ${n} card(s) as mana;Notifications;;;;
317566;${player_name} places ${n} card(s) in his hand;Notifications;;;;
345531;${player_name} plays ${card_name} for ${mana_cost};Notifications;;;;
345533;${player_name} plays ${card_name} for ${mana_cost} and places it in ${displayLocation};Notifications;;;;
345530;${player_name} plays ${card_name} from Reserve for ${mana_cost};Notifications;;;;
345532;${player_name} plays ${card_name} from Reserve for ${mana_cost} and places it in ${displayLocation};Notifications;;;;
343021;${player_name} puts ${card_names} on top of its deck;Notifications;;;;
317754;${player_name} puts ${n} card(s) to players' hand;Discard;;;;
331154;${player_name} reduce by ${consume} the counter (${card_name}'s effect);Notifications;;;;
345589;${player_name} remove ${card_names} from play;Notifications;;;;
317551;${player_name} restarts their turn;Notifications;;;;
320417;${player_name} rolls ${roll_text} (${card_name2}'s effect);Notifications;;;;
317580;${player_name} taps ${card_name} to activate it's effect;Notifications;;;;
317577;${player_name} targets ${card_names} for ${card_name}'s effect;Notifications;;;;
343881;${player_name} targets ${card_names} for ${card_name}'s effect and pays ${mana_cost} (Tough effect);Notifications;;;;
320902;${player_name} triggers After You effect (${card_name}'s effect);Notifications;;;;
343879;${player_name} triggers After You effect and pays ${mana_cost} (${card_name}'s effect);Notifications;;;;
320897;${player_name} will play the faction ${faction_name} with the hero ${card_name};Notifications;;;;
336652;${player_name} wins the game with ${card_name}'s effect;SpecialEffect;;;;
323684;${player_name} wins the tiebreaker with ${n} attributes;Notifications;;;;
343019;${source}: ${actplayer} must choose 1 die result;Status bar (game state);;;;
343020;${source}: ${you} must choose 1 die result;Status bar (game state);;;;
317544;${you} can't take the mandatory action. Restart your turn or exchange/cook to make it possible;Status bar (game state);;;;
323674;${you} may discard ${n} card(s) from ${source} to ${destination};Status bar (game state);;;;
317534;${you} may invoke ${tokenType};Status bar (game state);;;;
331150;${you} may play ${card_name};Status bar (game state);;;;
331152;${you} may play ${card_name} for free;Status bar (game state);;;;
317528;${you} must choose an action or pass;Status bar (game state);;;;
317542;${you} must choose exactly one effect;Status bar (game state);;;;
317540;${you} must choose which effect to resolve;Status bar (game state);;;;
317536;${you} must confirm or restart your turn;Status bar (game state);;;;
317538;${you} must confirm the switch of player. You will not be able to restart turn;Status bar (game state);;;;
317530;${you} must discard ${n} card(s) from ${source} to ${destination};Status bar (game state);;;;
327510;${you} must discard ${n} reserve card(s) and ${nLandmarks} landmark card(s);Status bar (game state);;;;
317526;${you} must select 3 cards to discard as mana;Status bar (game state);;;;
317522;${you} must select the deck you want to play;Status bar (game state);;;;
336461;${you} must select the faction you want to play with;Status bar (game state);;;;
336491;(If I leave the Expedition zone, remove me from the game.);"OD_Common_OrdisRecruit;BR_Common_Booda";;;;
343110;100 crunches, 100 push-ups, 100 squats, a 10-km run and a desire to prove yourself. Just your typical morning of Bravos training.;"MU_Rare_PhysicalTraining;BR_Common_PhysicalTraining;BR_Rare_PhysicalTraining";;;;
