Creator;Hero;Description;Description Claude Revised;Deck Letter;Decklist_URL;Decklist
Viko;Afanas & Senka;An easy to pilot, pleasant Afanas recipe where you do what you do best : lots of spell slinging, and lots of little guys to carry the boosts.;A streamlined spell-slinger deck built around Afanas' ability to boost small characters with repeated spell casts. The game plan is to flood the board with low-cost units and use constant spell slinging to stack boosts onto them, snowballing card advantage through the midgame. Key engines include Alize's cheap spells for consistent activation and small Yzmir creatures that absorb and redistribute boosts. Break the Ice and bounce effects protect the board from threats while maintaining tempo. This deck is easy to pilot and ideal for beginners, teaching the core Yzmir loop of spells and small bodies working in tandem.;Afanas A;https://www.altered.gg/decks/01KR4QH72VS4KQZXPKTNC8HQD6;"1 ALT_CORE_B_YZ_03_C
2 ALT_ALIZE_B_YZ_42_C
1 ALT_COREKS_B_YZ_24_C
3 ALT_ALIZE_B_YZ_41_C
2 ALT_COREKS_B_YZ_23_C
3 ALT_DUSTER_B_YZ_86_C
3 ALT_DUSTER_B_YZ_97_R1
3 ALT_COREKS_B_YZ_07_R1
3 ALT_COREKS_B_YZ_21_C
3 ALT_CYCLONE_B_YZ_66_C
3 ALT_COREKS_B_BR_25_R2
2 ALT_COREKS_B_MU_06_R2
3 ALT_COREKS_B_YZ_19_C
2 ALT_COREKS_B_BR_16_R2
2 ALT_COREKS_B_MU_08_R2
3 ALT_COREKS_B_YZ_22_C
1 ALT_COREKS_B_YZ_14_C"
CoraSan;Akesha & Taru;"This deck shows the core mechanics of Akesha, a mage control archetype.
The main objective is to maintain equality in early game progress to finish with a strong end. To succeed, players need to benefit the spells with cost reduction and bounce mechanic. Control your enemies and finish the game with strong combos !";A mage control deck built around Akesha's ability to leverage spell cost reductions and bounce mechanics. The goal is to maintain parity in the early game through efficient trades, then take over with high-value spell combos in the late game. Key tools include cost-reduction permanents that unlock powerful early plays and bounce effects that recycle threats while disrupting the opponent's board. Control is maintained through exhaust effects and well-timed responses, setting up decisive finishing combos. This deck is a solid introduction to Yzmir's reactive playstyle, teaching players how to manage tempo and timing their spells for maximum impact.;Akesha B;https://www.altered.gg/decks/01KR4SYCHPGN5WZW7KMF17WQGV;"1 ALT_CORE_B_YZ_01_C
2 ALT_CYCLONE_B_YZ_72_C
2 ALT_CYCLONE_B_YZ_69_C
2 ALT_CORE_B_YZ_14_C
3 ALT_CORE_B_YZ_13_R1
2 ALT_CORE_B_YZ_12_C
3 ALT_CORE_B_YZ_11_R1
3 ALT_CORE_B_YZ_06_C
3 ALT_COREKS_B_YZ_04_C
3 ALT_COREKS_B_LY_07_R2
2 ALT_BISE_B_YZ_56_R1
2 ALT_BISE_B_YZ_52_C
3 ALT_CORE_B_YZ_19_C
2 ALT_COREKS_B_MU_28_R2
2 ALT_ALIZE_B_YZ_42_C
2 ALT_ALIZE_B_LY_39_R2
3 ALT_CORE_B_YZ_21_C"
Zadibouc;Arjun & Spike;"Arjun Resupply has been one the most standard ways to play Arjun since set 2 and has the advantage not to be a Gift Deck (like the Quetzal version), giving him a unique gameplay rather than using the same cardpool as Turuun.

The deck is rather simple to understand; we want to resupply a lot with Aloe Vera, Floral Tent and Harvest, so that we can feed Arjun's power, and also find anchoring support effects. We have 11 support effets, 8 anchor and 3 sleep, to help keeping a strong board presence once the midgame starts. 

The main anchor targets are Inari, Aloe and Reka Investor for the Card/Mana advantage they give; a Corgi or a Skater can be secondary targets for their good stats.

We also run 3 Requiem and 2 Sap Duende as our interaction cards; they can be quite key against some matchups to answer various threats (Festival, The Hunger, Astrape).

I tried to keep cards complexity quite low by using a lot of vanilla cards or single line texts. We could lower complexity even more with Rare Cernunnos instead of Skaters or Investors, but it would also weaken a deck that is already quite in the lower tiers of competition.

Overall, I think it's a very enjoyable deck that offers a vast variety of playlines and can thrive when rightfully mastered. It is also quite thrilling to play Harvest rare and be dependent on the RNG of resupplying the cards you need; we're not throwing dice in Muna, but this deck can make you feel the same sometimes.";A resupply-focused midrange deck built around fueling Arjun's power through repeated reserve refills. The strategy is to resupply aggressively using Aloe Vera, Floral Tent, and Harvest while anchoring key characters like Inari and Reka Investor for sustained card and mana advantage. The deck runs 11 support effects, 8 anchor effects, and 3 sleep effects to dominate the mid-to-late game board, with Requiem and Sap Duende as flexible interaction pieces. Harvest Rare adds an exciting RNG element, making each resupply feel impactful and different. The deck uses mostly low-complexity cards and is approachable for newer players, while offering deep play lines for those who invest time in mastering it.;Arjun C;https://www.altered.gg/decks/01KR4TXW97KV1DSBQ24H2CY8DT;"1 ALT_CORE_B_MU_02_C
3 ALT_DUSTER_B_OR_92_R2
3 ALT_DUSTER_B_MU_88_C
3 ALT_CORE_B_MU_16_C
3 ALT_CORE_B_MU_13_C
3 ALT_CORE_B_MU_11_R1
3 ALT_CORE_B_MU_04_C
3 ALT_BISE_B_MU_52_C
2 ALT_BISE_B_BR_52_R2
3 ALT_ALIZE_B_MU_32_C
3 ALT_CORE_B_MU_29_R1
3 ALT_BISE_B_MU_60_C
2 ALT_BISE_B_LY_61_R2
2 ALT_ALIZE_B_MU_41_R1
3 ALT_ALIZE_B_MU_44_C"
VaderMIB;Atsadi & Surge;"Atsadi ramp resources advantage.
Atsadi has always be the hero for ramp and so feeling the hero right is feeling the mana advantage you built pay off with huge characters summonings.
Also, Atsadi's signature moves should be kept: Saka-bar and Hunger.
So, Atsadi has to adapt ramping without uniques, which is more complicated. I chose  rare mana channeling because of the +. And Djinns.
Saka helps managing being late in expeditions as you ramp early.";A ramp deck built around Atsadi's ability to accelerate mana and deploy massive characters far ahead of schedule. The game plan is to channel mana early using rare Mana Channeling and Djinns, then convert that advantage into overwhelming board presence with large summons. Saka-bar and The Hunger serve as the deck's signature win conditions, while Saka itself provides crucial tempo management when falling behind in expeditions. The deck exemplifies Atsadi's core identity � building a mana engine that eventually becomes too powerful for opponents to answer. It is a compelling option for players who enjoy the satisfaction of ramping up and unleashing powerful late-game plays.;Atsadi A;https://www.altered.gg/decks/01KR4W2FJG7DKC91TE1R3EAV8R;"1 ALT_CORE_B_BR_02_C
3 ALT_COREKS_B_BR_19_C
3 ALT_BISE_B_BR_57_C
3 ALT_CYCLONE_B_BR_79_C
3 ALT_BISE_B_BR_59_C
3 ALT_BISE_B_YZ_56_R2
3 ALT_CYCLONE_B_MU_75_R2
2 ALT_ALIZE_B_BR_45_C
1 ALT_ALIZE_B_BR_41_C
1 ALT_COREKS_B_BR_27_C
1 ALT_CYCLONE_B_BR_80_C
2 ALT_ALIZE_B_BR_43_C
3 ALT_CYCLONE_B_BR_69_R1
2 ALT_COREKS_B_BR_24_R1
2 ALT_COREKS_B_YZ_18_R2
2 ALT_CYCLONE_B_BR_77_C
2 ALT_COREKS_B_BR_27_R1
3 ALT_BISE_B_BR_52_C"
The_Vary;Auraq & Kibble;Auraq is not the strongest but one of the most funny hero to play. His power is like Heaven or Hell, and that's what i want to do with this starter deck proposal: a deck that aims to trigger the hero power at least  times in a game easily to see how it works and to feel the thrill of flipping some big drops for free. Of course you could always top deck a  mana body, but that's how Auraq is :) I thought about putting common Nuit in this deck but in the end i gave that up because I think that Nuit plays requires some knowlege of the game, of the cards in deck and some setup. Instead i went for a more aggro / draw strategy, put some cheap removals (break the ice is the best removal in game if played in Auraq) and some winter outfits to help deal with the play that can be hard for a new player.;A high-variance aggro deck built around Auraq's chaotic hero power that can flip cards of any cost for free. The game plan is to trigger the hero power as many times as possible through an aggressive draw strategy, hoping to land big free threats while applying constant pressure. Cheap removal like Break the Ice shines in this deck, as it can be cast during expeditions to maintain tempo and enable hero power triggers. Winter Outfit effects provide resilience against difficult plays that might otherwise overwhelm new pilots. This deck teaches players to embrace calculated risk-taking and is an excellent introduction to Lyra's aggressive tools.;Auraq B;https://www.altered.gg/decks/01KR4X9V9HR5Q5QSGC19EW23BS;"1 ALT_CORE_B_LY_02_C
3 ALT_CORE_B_MU_22_R2
3 ALT_CORE_B_LY_27_C
3 ALT_ALIZE_B_BR_34_R2
3 ALT_BISE_B_LY_49_C
2 ALT_CYCLONE_B_BR_81_R2
3 ALT_CORE_B_LY_09_C
3 ALT_CORE_B_LY_06_C
3 ALT_ALIZE_B_LY_42_C
2 ALT_DUSTER_B_LY_86_R1
2 ALT_ALIZE_B_LY_43_C
2 ALT_BISE_B_LY_53_R1
2 ALT_CYCLONE_B_LY_68_C
3 ALT_DUSTER_B_LY_88_C
2 ALT_CORE_B_LY_24_C
3 ALT_BISE_B_BR_59_R2"
Spartacus;Basira & Kaizaimon;This NUC deck has already proven itself in BGA tournaments. With Basira, the goal is to generate strong boosts and Card advantages. We want access to sabotage and exhaust effects, which is why I included one Akhlut and two Suha, we love this cards. Of course, there�s also an Hungers to end a game. I added three different removals that are commonly played in Basira builds. The deck is very accessible and easy to pick up, we will love it. And finally, Coucou, my favorite card !;A proven boost-and-control deck built around Basira's ability to generate powerful stat advantages and card draw. The strategy is to accumulate boosts and card advantage while using sabotage and exhaust effects � provided by Akhlut and Suha � to disrupt the opponent's key pieces. Three distinct removal types round out the suite, keeping the deck flexible across a variety of matchups, and The Hunger serves as a reliable game-ending threat. The deck has already demonstrated its strength in BGA tournament settings and performs consistently against the meta. It is very accessible and easy to pick up, making it an excellent starting point for players learning Bravos faction fundamentals.;Basira F;https://www.altered.gg/decks/01KR4XMZN29DQJ5VB9PS3Y21TZ;"1 ALT_CORE_B_BR_03_C
1 ALT_ALIZE_B_BR_38_R1
1 ALT_CORE_B_BR_28_C
2 ALT_DUSTER_B_BR_86_C
2 ALT_BISE_B_BR_50_C
2 ALT_CYCLONE_B_YZ_70_R2
3 ALT_CYCLONE_B_MU_70_R2
3 ALT_CYCLONE_B_BR_81_R1
3 ALT_COREKS_B_BR_16_C
3 ALT_ALIZE_B_BR_32_C
1 ALT_BISE_B_YZ_56_R2
3 ALT_COREKS_B_BR_11_C
3 ALT_BISE_B_BR_52_C
2 ALT_CORE_B_BR_25_C
3 ALT_COREKS_B_BR_05_C
3 ALT_COREKS_B_BR_26_R1
1 ALT_BISE_B_BR_61_C
1 ALT_DUSTER_B_BR_100_C
2 ALT_DUSTER_B_MU_88_R2"
Eldritch Madcap;Della & Bolt;"Della Exhaust 

The deck works extensively on the reserve, with a focus on exhausted characters and landmarks, leveraging the core ability of Della&Bolt (and  other cards) to ready exhausted cards. The exhaust mechanic in this deck also creates useful sinergies such as gaining boosts, reducing mana costs and drawing cards. ( with permanents such as Axiom Exhibit, Science Fair and The Nilam). The deck can be useful to get more confident with the reserve related mechanics typical of Axiom and the sinergies coming from multiple exhaust/ready actions that can occur during a turn.
Strategy does not require ramping mana fast but focus on drawing cards, expecially in reserve to activate the many ""play from reserve"" abilities of the deck. 
";An exhaust-synergy control deck built around Della's ability to ready exhausted characters and permanents. The strategy centers on keeping exhausted cards in play and cycling them through repeat activations, using permanents like Axiom Exhibit, Science Fair, and The Nilam to generate boosts, reduce mana costs, and draw cards. A deep reserve-play package allows cards to be cast directly from reserve, making the deck efficient and hard to disrupt. Rather than ramping quickly, this deck rewards patient play and building incremental advantage through layered exhaust-and-ready combinations. It is an excellent way for new Axiom players to explore reserve mechanics and understand how multi-step action sequences generate value.;Della A;https://www.altered.gg/decks/01KR4XP17PN2MN095D2HJC00M6;"1 ALT_DUSTER_B_AX_85_C
2 ALT_DUSTER_B_AX_87_R1
3 ALT_ALIZE_B_AX_32_C
3 ALT_DUSTER_B_AX_89_R1
3 ALT_DUSTER_B_AX_94_C
2 ALT_DUSTER_B_AX_86_C
3 ALT_DUSTER_B_AX_93_C
3 ALT_ALIZE_B_AX_37_C
3 ALT_DUSTER_B_AX_92_C
3 ALT_DUSTER_B_AX_95_E
1 ALT_BISE_B_AX_59_C
1 ALT_ALIZE_B_YZ_43_R2
3 ALT_DUSTER_B_AX_101_R1
2 ALT_DUSTER_B_AX_100_R1
2 ALT_ALIZE_B_YZ_45_R2
3 ALT_CORE_B_AX_07_C
2 ALT_DUSTER_B_AX_97_R1"
YllKa;Fen & Crowbar;"This Fen & Crowbar deck is a very classic Lyra deck, designed to teach players how to play reactively. Its game plan is to let the opponent commit first, then respond with efficient cards in order to gain the advantage at the right moment.

There are several key cards, such as Aloe Vera, which can generate significant card advantage, and also helps with playing Anansi, keeping them in play thanks to the anchoring provided by the Hatters, and therefore controlling expeditions more effectively. Even though Fen does not let you choose your mana precisely in the morning, the sleight-of-hand effects allow you to create �after you� situations and bring down the right cards at the right time. For a new player, this is also simpler: they do not have to make a mana decision at the very beginning of each day.

The deck protects itself from opposing removal with Parliaments and controls the opponent. Sleep is very strong for closing out a game.

It is an excellent deck for beginners because it teaches important fundamentals of Altered: reading the opponent�s turn, choosing when to spend your resources, positioning your characters well, and turning small answers into a gradual advantage.";A classic reactive control deck built around Lyra's strength in responding to opponents rather than committing first. The game plan is to let the opponent spend their resources, then answer with efficient cards and sleight-of-hand effects to create favorable After You situations, always staying one step ahead. Aloe Vera is the deck's key engine, generating significant card advantage while helping keep Anansi on board, anchored by the Hatters, to control expedition results. Parliament effects protect important characters from removal, and Sleep effects provide decisive closing power in the late game. This deck is an excellent choice for new players, as it teaches essential Altered fundamentals: reading the opponent's turn, managing resources, and turning small positional advantages into a gradual win.;Fen E;https://www.altered.gg/decks/01KR4XXX1MNRVADMTDB28HDGYG;"1 ALT_CORE_B_LY_03_C
2 ALT_CYCLONE_B_LY_82_C
1 ALT_CORE_B_AX_20_R2
3 ALT_CORE_B_LY_10_R1
2 ALT_CORE_B_LY_04_C
3 ALT_ALIZE_B_LY_31_C
3 ALT_CORE_B_LY_07_C
2 ALT_ALIZE_B_LY_35_C
3 ALT_CORE_B_LY_13_C
2 ALT_CORE_B_MU_16_R2
2 ALT_CORE_B_LY_18_C
2 ALT_ALIZE_B_LY_39_R1
3 ALT_CORE_B_YZ_19_R2
2 ALT_BISE_B_MU_60_R2
3 ALT_CORE_B_LY_23_C
3 ALT_CYCLONE_B_LY_78_C
1 ALT_CORE_B_LY_24_C
2 ALT_CYCLONE_B_BR_81_R2"
Rinku;Gulrang & Tocsin;"Slow and steady
Try to stop your opponents from advancing
Axiom Signet works very well with all of the Permanents you have
Don't be afraid to take off a turn to draw cards with Conjuring Seal
Don't advance at all until Gulrang ability is active that way you can fully utilize Mesektet.
Try to have your opponent advance equally on the Tumult.
Has at least 1 card from each of Set 1-5";A slow permanent-control deck built around stalling the Tumult and activating Gulrang's hero ability to unleash Mesektet. The strategy is to prevent the opponent from advancing while setting up a wall of permanents, using Axiom Signet to maximize efficiency across the board. Conjuring Seal provides crucial card draw during slow turns, ensuring the deck never runs out of resources while waiting for Gulrang's condition to activate. Once the hero ability is live, Mesektet becomes a dominant board presence that is extremely difficult for opponents to answer. The deck features at least one card from each of Sets 1�5, giving new players a broad overview of Ordis permanent tools and the unique patience-rewarding gameplay of Gulrang.;Gulrang B;https://www.altered.gg/decks/01KR4Y2GBP0HYQ0V1VWBMFY96X;"1 ALT_CORE_B_OR_03_C
3 ALT_CORE_B_OR_16_R1
3 ALT_ALIZE_B_OR_34_C
3 ALT_BISE_B_OR_54_C
3 ALT_ALIZE_B_OR_43_R1
3 ALT_CORE_B_YZ_23_R2
3 ALT_BISE_B_OR_62_R1
2 ALT_DUSTER_B_OR_102_C
3 ALT_ALIZE_B_OR_45_C
3 ALT_BISE_B_OR_59_C
3 ALT_CORE_B_OR_24_C
2 ALT_BISE_B_OR_60_C
3 ALT_CYCLONE_B_AX_76_R2
3 ALT_CORE_B_OR_08_C
2 ALT_ALIZE_B_OR_44_C"
Vagamebond;Isaree & Pebble;Create aeroliths, profit from your overloaded reserve and your permanents to gain advantage over the opponent on expeditions or through card advantage! Paju, Priya, the Demolition Expert and the Aerolith Quarry create them. Marionnetist, Bessie and Lucan profit from them. Other permanents benefit from the overloaded permanent zone!;A meteorite-engine combo deck built around overloading the reserve at end of day to flood the board with Aerolith tokens. The core strategy is to use Paju, Priya, the Demolition Expert, and the Meteorite Quarry to generate Aeroliths, then exploit them with Puppeteer, Bessie, and Lucan for powerful board-wide effects and card advantage. The overloaded permanent zone also feeds secondary synergies across the rest of the deck, creating a self-sustaining value engine. Managing the reserve intelligently is the key skill, as the deck rewards players who plan their end-of-day setup carefully. This deck introduces players to Axiom's distinctive reserve-heavy playstyle and the unique tempo of building toward a resource payoff.;Isaree G;https://www.altered.gg/decks/01KR4YDHECJBM2RPH3TRDDGP4D;"1 ALT_CYCLONE_B_AX_65_C
3 ALT_CYCLONE_B_AX_66_R1
3 ALT_CYCLONE_B_AX_68_C
3 ALT_CYCLONE_B_AX_67_R1
3 ALT_CYCLONE_B_AX_70_C
1 ALT_CYCLONE_B_AX_74_C
3 ALT_CYCLONE_B_AX_82_C
2 ALT_CYCLONE_B_AX_77_R1
3 ALT_CYCLONE_B_AX_79_C
3 ALT_CYCLONE_B_AX_80_C
2 ALT_CYCLONE_B_BR_74_R2
3 ALT_CORE_B_AX_28_R1
3 ALT_CYCLONE_B_AX_72_C
2 ALT_COREKS_B_AX_21_R1
3 ALT_ALIZE_B_AX_41_C
2 ALT_CORE_B_AX_07_C"
